P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YBL047C	26	90	0	24	211	125	100	130	5
YGL040C	860	417	250	515	941	561	886	651	5
YJL052W	23180	968	1088	13746	19855	14224	10342	8834	1
YGL011C	446	284	58	186	1009	478	456	575	5
YDR174W	378	428	215	339	533	426	554	767	5
YOR332W	1065	865	720	657	1722	1186	936	1947	5
YGL157W	0	120	22	0	293	264	208	228	5
YDR148C	549	308	155	710	673	488	485	1094	5
YOR232W	266	401	168	357	735	383	496	747	5
YGL221C	493	552	63	319	968	485	664	648	5
YNL045W	201	88	33	160	240	227	183	468	5
YOL057W	30	121	11	0	126	168	60	166	5
YOR151C	93	53	28	142	167	134	115	186	5
YJR090C	0	81	68	100	118	0	101	105	5
YBL007C	28	16	5	0	32	0	0	35	5
YHL030W	22	20	4	0	36	20	45	0	5
YJL121C	1152	390	1320	1042	1664	1018	1566	1457	5
YOR251C	0	26	0	0	129	48	0	144	5
YDR298C	0	52	0	0	193	61	0	308	5
YKL214C	38	54	0	0	114	21	203	156	5
YDR418W	1567	1561	2189	3376	4175	2645	9999	34324	1
YHR128W	335	1325	0	1294	3075	1855	1840	2521	5
YPR073C	0	71	0	0	467	530	414	848	5
YBR101C	0	73	105	115	745	587	485	399	5
YML001W	0	84	0	0	234	175	367	163	5
YLR192C	0	93	208	741	843	541	499	1219	5
YDR469W	103	152	0	0	961	234	412	258	5
YPL237W	71	0	48	225	189	0	0	174	5
YGL067W	0	54	0	0	163	52	173	141	5
YHR049W	196	334	286	757	952	423	957	878	5
YGR155W	224	393	205	791	1372	996	2190	2409	5
YIL138C	0	22	0	0	176	160	0	86	5
YHR069C	84	56	94	213	171	0	185	194	5
YDR035W	0	103	0	211	757	343	603	962	5
YML074C	430	265	438	988	888	1169	1413	1678	5
YBR025C	44	77	0	71	93	270	187	236	5
YFR006W	5	117	0	0	134	99	63	260	5
YPR163C	64	65	230	418	299	249	432	679	5
YPR145W	1795	2997	2580	3363	4040	3462	3885	4917	5
YGL043W	0	19	20	78	110	0	60	132	5
YIL021W	91	15	0	136	199	66	238	192	5
YPR033C	153	140	187	275	381	155	347	507	5
YDR502C	19	289	0	625	1540	412	2308	761	5
YLR335W	11	40	27	0	72	60	50	125	5
YPR180W	0	64	0	0	155	60	202	336	5
YPL070W	0	24	0	0	66	0	170	0	5
YKR028W	8	0	0	27	9	0	51	0	5
YER103W	34	67	31	139	4383	3707	4853	4715	5
YLL029W	6	0	0	10	0	0	43	0	5
YGR240C	1038	1789	1990	2338	3653	2073	3085	2450	5
YHR020W	8	51	36	56	87	0	95	0	5
YDL060W	13	28	122	93	52	0	0	114	5
YFR038W	17	34	0	39	34	0	93	40	5
YDR127W	62	116	66	85	342	239	114	263	5
YJL076W	72	12	0	65	85	0	0	59	5
YDL145C	27	0	0	48	0	43	51	90	5
YDR464W	45	11	27	38	0	34	0	58	5
YDL171C	0	27	26	81	342	126	205	291	5
YOR341W	0	16	25	12	59	28	149	194	5
YPL231W	266	401	315	685	955	686	1100	1538	5
YDR002W	539	669	556	442	1554	921	1195	1290	5
YER030W	145	256	0	0	457	299	0	0	5
YAR053W	153	0	101	225	99	219	0	0	5
YLR406C	451	99	985	391	238	191	569	428	5
YDL121C	521	290	0	0	1255	0	0	0	5
YBR009C	1795	1151	3018	2295	2913	1596	2801	1988	5
YBL001C	2019	622	0	0	1448	0	0	0	5
YGR063C	1409	770	0	1164	2344	1057	0	664	5
YDR328C	0	138	619	0	484	618	1059	1038	5
YPR052C	286	0	0	0	588	470	0	0	5
YIL053W	4792	4272	4256	3964	5816	2823	4333	4122	5
YEL034W	2475	1712	2909	2982	5272	2805	4552	4445	5
YHR021C	0	6113	2887	0	0	2827	0	0	5
YER146W	0	578	512	0	323	0	0	0	5
YNL135C	2575	3071	2914	2503	3471	2704	3676	3584	5
YPL211W	0	18	0	213	0	0	0	491	5
YDR454C	2609	2762	2051	2928	4306	3065	4090	4481	5
YDL110C	0	139	0	0	266	212	0	0	5
YLR179C	664	591	254	74	1192	539	522	642	5
YHR051W	170	171	0	25	316	172	475	368	5
YPL111W	0	65	0	0	123	206	420	620	5
YDR045C	230	0	96	57	0	256	0	0	5
