"diam$X"	"R0"	"R10"	"R20"	"R30"	"R40"	"R60"	"R90"
"4628"	"YML032C-A"	0	0	0	0	0	0	0
"4629"	"YML033W"	0	0	0	0	0	0	0
"4630"	"YML035C"	1.56	1.06	1.28	1.42	1.55	1.14	1.14
"4631"	"YML035C-A"	0	0	0	0	0	0	0
"4632"	"YML036W"	0.81	0.81	0.67	0.67	0.69	0.61	0.72
"4633"	"YML037C"	0.45	0.26	0.29	0.35	0.25	0.29	0.36
"4634"	"YML038C"	1.43	1.23	1.14	1.08	1.36	1.23	1.36
"4635"	"YML039W"	5.81	5.46	5.57	5.13	7.46	8.27	9.84
"4636"	"YML040W"	2.86	2.37	2.34	2.54	3.5	4.88	4.98
"4637"	"YML041C"	0.85	0.97	0.9	1	0.89	0.87	0.8
"4638"	"YML042W"	0.4	0.46	0.45	0.8	0.44	0.55	0.46
"4639"	"YML043C"	1.03	0.53	0.37	0.43	0.54	0.61	0.73
"4640"	"YML045W"	4.97	4.32	4.23	4.51	6.2	9.46	8.89
"4641"	"YML046W"	0.98	0.67	0.63	0.66	0.76	0.86	0.95
"4642"	"YML047C"	0	0	0	0	0	0	0
"4643"	"YML048W"	3.24	5.92	6.47	7.04	6	5.37	3.52
"4644"	"YML048W-A"	0	0	0	0	0	0	0
"4645"	"YML050W"	0.38	0.58	0.6	0.64	0.57	0.52	0.44
"4646"	"YML051W"	1.01	1.14	1.14	1.12	1.09	1.15	1.05
"4647"	"YML052W"	2.86	3.21	2.94	2.94	2.78	1.5	2.2
"4648"	"YML053C"	1.4	1.69	1.65	1.43	1.5	1.42	1.27
"4649"	"YML054C"	0.52	0.85	0.94	1.42	0.97	0.76	0.76
"4650"	"YML055W"	1.98	1.74	1.88	1.47	2.33	2.48	2.43
"4651"	"YML057W"	1.25	1.83	2.05	2.07	2.26	1.72	1.41
"4652"	"YML058C-A"	0	0	0	0	0	0	0
"4653"	"YML058W"	7.53	9.8	7.69	9.14	9.4	6.56	9.87
"4654"	"YML059C"	1.38	0.95	1.3	1.46	1.27	0.84	0.99
"4655"	"YML060W"	1.22	0.6	0.47	0.49	0.73	1.04	1.16
"4656"	"YML061C"	1.43	1.54	1.44	1.25	1.16	1.15	1.22
"4657"	"YML062C"	1.62	1.07	1.14	0.78	1.34	1.23	1.41
"4658"	"YML064C"	1.41	1.48	1.4	1.13	1.38	0.91	1.21
"4659"	"YML065W"	1.73	1.26	1.11	0.9	0.99	0.83	1.33
"4660"	"YML066C"	0	0	0	0	0	0	0
"4661"	"YML067C"	2.04	2.49	2.41	2.13	2.41	2.44	1.98
"4662"	"YML069W"	1.85	2.03	2.06	1.85	1.88	1.53	1.73
"4663"	"YML075C"	1.25	0.69	0.84	0.86	0.87	0.74	0.8
"4664"	"YML076C"	0.75	0.58	0.86	0.75	0.56	0.61	0.73
"4665"	"YML077W"	1.51	2.06	1.6	1.59	1.51	1.5	1.5
"4666"	"YML082W"	0.88	0.54	0.55	0.54	0.6	0.78	0.6
"4667"	"YML083C"	0	0	0	0	0	0	0
"4668"	"YML084W"	0.79	0.56	0.71	0.65	0.58	0	0.42
"4669"	"YML085C"	2.76	3.54	3.19	3.26	3.3	3.28	3.26
"4670"	"YML086C"	1.76	2.52	2.93	3.12	2.81	1.94	1.79
"4671"	"YML087C"	0	0	0	0	0	0	0
"4672"	"YML088W"	0.7	0.72	0.85	0.91	0.88	1.27	0.76
"4673"	"YML089C"	0	0	0	0	0	0	0
"4674"	"YML090W"	0	0	0	0	0	0	0
"4675"	"YML093W"	1.68	0.37	0.27	0.32	0.5	0.86	1.14
"4676"	"YML095C"	0.77	0.57	0.55	0.54	0.65	0.75	0.75
"4677"	"YML095C-A"	0	0	0	0	0	0	0
"4678"	"YML096W"	0.87	0.57	0.51	0.56	0.67	0.77	0.96
"4679"	"YML098W"	0.87	0.9	0.89	0.86	0.83	0.86	0.89
"4680"	"YML099C"	0.72	0.45	0.54	0.65	0.64	0.71	0.74
"4681"	"YML100W"	1.41	13.79	30.18	25.92	17.1	4.22	4.61
"4682"	"YML100W-A"	0	0	0	0	0	0	0
"4683"	"YML101C"	1.88	3.05	3.01	2.1	2.43	2.58	2.13
"4684"	"YML102C-A"	0	0	0	0	0	0	0
"4685"	"YML102W"	0.84	0.99	1.04	1.36	1.13	1.09	1.2
"4686"	"YML104C"	0.77	0.53	0.53	0.5	0.62	0.44	0.8
"4687"	"YML105C"	2.21	2.44	2.01	1.9	1.96	2.37	2.08
"4688"	"YML106W"	9.35	9.82	6.26	5.15	6.08	7.6	9.82
"4689"	"YML107C"	0.72	0.59	0.49	0.55	0.58	0.72	0.77
"4690"	"YML108W"	2.02	1.42	1.15	1.39	1.32	2.32	2.11
"4691"	"YML109W"	0.61	0.35	0.33	0.33	0.39	0.29	0.47
"4692"	"YML110C"	2.66	4.53	6.86	7.15	8.1	5.54	3.43
"4693"	"YML111W"	1.1	0.81	0.98	0.92	1.05	0.79	0.88
"4694"	"YML112W"	0.76	0.96	1.05	1.06	1.1	1.18	0.9
"4695"	"YML113W"	1.84	1.41	1.23	1.37	1.6	2.17	1.93
"4696"	"YML114C"	0.91	0.82	0.88	0.91	0.96	0.92	1
"4697"	"YML115C"	1.07	0.88	0.82	0.8	0.91	1.07	1.1
"4698"	"YML116W"	1.01	3.96	3.08	2.63	3.47	2.7	3.13
"4699"	"YML117W"	1.68	1.99	2.47	2.25	2.4	2.1	2.09
"4700"	"YML117W-A"	0	0	0	0	0	0	0
"4701"	"YML118W"	0.42	0.45	0.72	0.55	0.65	0.93	0.46
"4702"	"YML119W"	1.01	0.8	0.68	0.71	0.83	0.86	0.74
"4703"	"YML121W"	2.17	3.23	2.57	2.79	3.16	2.64	2.13
"4704"	"YML122C"	0	0	0	0	0	0	0
"4705"	"YML123C"	6.22	3.24	2.55	4.37	6.76	5.23	4.92
"4706"	"YML124C"	2.33	2.75	2.95	2.69	2.85	2.88	2.93
"4707"	"YML125C"	4.36	6.13	5.64	5.8	5.92	9.96	6.66
"4708"	"YML127W"	1.67	2.03	2.4	2.3	1.96	2.2	2
"4709"	"YML128C"	1.03	9.43	29.8	40.15	37.46	8.68	3.62
"4710"	"YML130C"	2.1	6.87	8.88	8.4	10.49	17.04	11.64
"4711"	"YML132W"	1.9	2.68	2.55	2.19	2.72	2.68	2.32
"4712"	"YML133C"	1.77	0	0	0	0	0	1.29
"4713"	"YMR001C"	1	0.8	0.8	0.71	0.73	0.39	0.79
"4714"	"YMR003W"	1.02	1.18	1.1	0.94	0.85	0.97	1.22
"4715"	"YMR004W"	0.78	1.1	1.25	1.37	1.31	1.12	1
"4716"	"YMR005W"	1.08	1.01	0.96	0.92	1.09	0.97	1.1
"4717"	"YMR006C"	1.16	0.85	0.66	0.69	0.76	0.66	1.38
"4718"	"YMR007W"	0.44	0.56	0.46	0.5	0.53	0.36	0.54
"4719"	"YMR008C"	2.12	2.27	2.4	2.38	2.87	3.39	3.44
"4720"	"YMR009W"	0.78	1.86	2.18	2.02	1.81	1.74	1.31
"4721"	"YMR010W"	1.49	1.5	1.55	1.55	1.66	1.59	1.43
"4722"	"YMR011W"	10.45	16.98	10.67	9.23	6.8	4.91	5.96
"4723"	"YMR013C"	0.68	0.55	0.52	0.63	0.83	0.98	0.89
"4724"	"YMR014W"	1.16	0.46	0.28	0.28	0.44	0.61	0.77
"4725"	"YMR015C"	2.23	2.02	1.34	1.61	1.92	1.4	2.23
"4726"	"YMR016C"	0.49	0.41	0.32	0.28	0.37	0.41	0.43
"4727"	"YMR017W"	0	0	0	0	0	0	0
"4728"	"YMR018W"	0.45	0.5	0.41	0.45	0.3	0.35	0.48
"4729"	"YMR021C"	0.77	0.68	0.64	0.8	0.83	1.07	0.92
"4730"	"YMR022W"	2.36	4.17	4.26	3.98	3.39	4.79	3.25
"4731"	"YMR023C"	0.9	1.07	1.15	1.21	1.3	1.18	0.9
"4732"	"YMR024W"	1.08	1.57	1.95	1.75	1.52	1.5	1.05
"4733"	"YMR025W"	0.82	0.89	0.84	0.9	1.03	0.86	0.92
"4734"	"YMR026C"	0.67	0.66	0.6	0.67	0.68	0.87	0.88
"4735"	"YMR027W"	1.61	2.39	2.51	2.41	2.73	2.41	2.18
"4736"	"YMR028W"	0.97	1.15	1.22	1.17	1.06	1.14	1.16
"4737"	"YMR029C"	0.78	0.92	1.04	0.95	1.1	0.69	0.89
"4738"	"YMR030W"	0.63	0.92	0.92	1.07	0.83	0.56	0.67
"4739"	"YMR031W-A"	0	0	0	0	0	0	0
"4740"	"YMR032W"	0	0	0	0	0	0	0
"4741"	"YMR033W"	1.53	1.61	1.52	1.44	1.47	1.52	1.33
"4742"	"YMR034C"	0.45	0.4	0.34	0.42	0.42	0.6	0.56
"4743"	"YMR035W"	0.96	1.2	1.21	1.24	1.26	1.55	1.31
"4744"	"YMR036C"	0.77	0.5	0.48	0.56	0.61	0.63	0.7
"4745"	"YMR037C"	0.75	0.69	0.85	0.81	0.86	0.88	0.93
"4746"	"YMR039C"	2.7	2.02	2.3	2.05	2.54	2.93	2.89
"4747"	"YMR040W"	0.58	0.93	1.1	1.17	1.66	2.68	1.73
"4748"	"YMR041C"	0.42	0.56	0.77	0.98	1.13	0.86	0.68
"4749"	"YMR043W"	1.28	1.11	1.2	1	1.23	1.2	1.2
"4750"	"YMR045C"	3.5	2.69	2.84	2.84	4.02	5.41	5.05
"4751"	"YMR046C"	0	0	0	0	0	0	0
"4752"	"YMR047C"	1.26	1	1.11	1.09	1.17	1.06	1.1
"4753"	"YMR048W"	0.54	0.49	0.49	0.47	0.5	0.4	0.57
"4754"	"YMR050C"	5.07	4.21	4.51	4.67	6.64	7.79	7.69
"4755"	"YMR051C"	3.16	2.59	2.59	2.79	3.78	5.06	5.39
"4756"	"YMR052C-A"	0	0	0	0	0	0	0
"4757"	"YMR052W"	0.82	0.96	0.94	0.86	1	0.93	0.94
"4758"	"YMR053C"	0.47	0.71	0.88	0.78	0.85	0.48	0.67
"4759"	"YMR054W"	1.39	1.3	1.57	1.79	1.82	1.68	1.35
"4760"	"YMR055C"	0.75	0.79	0.78	0.92	0.91	1.02	1.09
"4761"	"YMR056C"	0.36	0.38	0.38	0.53	0.58	0.48	0.4
"4762"	"YMR057C"	0	0	0	0	0	0	0
"4763"	"YMR058W"	2.6	1.67	0.83	0.49	0.62	0.86	1.63
"4764"	"YMR059W"	0.99	0.93	0.88	0.8	0.87	1.07	1.1
"4765"	"YMR060C"	0.85	1.21	1.24	1.21	0.98	0.94	0.78
"4766"	"YMR061W"	1.09	0.79	0.81	0.73	0.74	0.77	0.98
"4767"	"YMR062C"	0.93	1	0.81	0.76	0.87	1	1.06
"4768"	"YMR063W"	0	0	0	0	0	0	0
"4769"	"YMR064W"	0.56	0.41	0.41	0.41	0.45	0.41	0.57
"4770"	"YMR065W"	0.69	0.56	0.53	0.61	0.53	0.54	0.7
"4771"	"YMR066W"	0.65	0.45	0.51	0.49	0.52	0.39	0.49
"4772"	"YMR067C"	0.86	1.35	1.79	1.74	1.9	1.71	1.32
"4773"	"YMR068W"	0	0	0	0	0	0	0
"4774"	"YMR069W"	0	0	0	0	0	0	0
"4775"	"YMR070W"	0.65	0.55	0.59	0.58	0.68	0.54	0.65
"4776"	"YMR071C"	3.32	5.73	5.93	5.13	5.31	5.13	4.17
"4777"	"YMR075C-A"	0	0	0	0	0	0	0
"4778"	"YMR075W"	0.65	0.53	0.6	0.59	0.63	0.52	0.66
"4779"	"YMR076C"	1.24	0.68	0.68	0.53	0.84	0.65	0.96
"4780"	"YMR077C"	1.5	1.46	1.65	1.59	1.54	1.32	1.71
"4781"	"YMR078C"	0.59	0.42	0.42	0.45	0.54	0.46	0.69
"4782"	"YMR081C"	0.74	1.33	2.21	1.79	1.46	2.92	0.78
"4783"	"YMR082C"	0	0	0	0	0	0	0
"4784"	"YMR084W"	0.48	0.4	0.43	0.46	0.34	0.36	0.34
"4785"	"YMR085W"	0.55	0.61	0.62	0.59	0.64	0.46	0.47
"4786"	"YMR086C-A"	1.83	2.1	2.17	1.83	2.48	1.49	1.88
"4787"	"YMR087W"	0.64	0.72	0.64	0.62	0.71	0.65	0.72
"4788"	"YMR088C"	0.86	0.73	0.61	0.76	0.79	0.94	1
"4789"	"YMR091C"	1.64	1.72	1.65	1.57	1.72	1.53	1.53
"4790"	"YMR093W"	1.31	0.43	0.25	0.34	0.55	0.94	0.99
"4791"	"YMR094W"	0	0	0	0	0	0	0
"4792"	"YMR095C"	0	0	0	0	0	0	0
"4793"	"YMR096W"	0.66	0.52	0.62	0.66	0.62	0.95	0.79
"4794"	"YMR097C"	0.74	0.85	0.9	0.85	0.9	0.82	0.88
"4795"	"YMR098C"	0.59	0.76	0.92	0.87	0.59	0.64	0.64
"4796"	"YMR101C"	0	0	0	0	0	0	0
"4797"	"YMR102C"	1.6	1.96	2.01	1.79	1.44	1.63	1.36
"4798"	"YMR103C"	2.1	4.03	4.56	3.39	3.46	2.64	2.06
"4799"	"YMR104C"	0.71	1.12	1.53	1.52	0.81	1.16	0.89
"4800"	"YMR106C"	0	0	0	0	0	0	0
"4801"	"YMR107W"	0	0	0	0	0	0	0
"4802"	"YMR110C"	1.06	2.31	3.01	3.27	3.16	2.04	1.58
"4803"	"YMR113W"	0.78	0.78	0.78	0.78	0.95	1.04	1
"4804"	"YMR114C"	0.43	0.53	0.64	0.68	0.6	0.56	0.53
"4805"	"YMR115W"	2.14	2.9	3.54	2.76	2.88	2.09	2.44
"4806"	"YMR117C"	1.01	0	0	0.82	0	0	0
"4807"	"YMR118C"	0	0	0	0	0	0	0
"4808"	"YMR119W"	0.54	0.7	0.78	0.7	0.76	0.51	0.61
"4809"	"YMR119W-A"	0	0	0	0	0	0	0
"4810"	"YMR121C"	12.31	19.32	10.72	5.66	4.67	8.89	9.14
"4811"	"YMR122C"	0	0	0	0	0	0	0
"4812"	"YMR123W"	3.73	4.13	2.94	2.62	2.78	4.52	4.31
"4813"	"YMR124W"	1.3	1.29	1.2	1.24	1.41	1	1.16
"4814"	"YMR125W"	1.35	1.12	1.2	1.17	1.31	1.12	1.22
"4815"	"YMR126C"	1.01	0.81	0.66	0.65	0.81	1.08	0.89
"4816"	"YMR127C"	0.71	0.49	0.42	0.48	0.47	0.71	0.79
"4817"	"YMR130W"	1.1	1.17	1.07	1.03	1.15	1.51	1.22
"4818"	"YMR132C"	0.8	0.5	0.4	0.41	0.45	0.58	0.73
"4819"	"YMR133W"	0	0	0	0	0	0	0
"4820"	"YMR135C"	0.93	1.33	1.68	1.63	1.27	1.32	1.34
"4821"	"YMR135W-A"	0	0	0	0	0	0	0
"4822"	"YMR136W"	0.64	0.53	0.61	0.66	0.69	0.36	0.71
"4823"	"YMR138W"	0.64	0.55	0.48	0.49	0.51	0.66	0.71
"4824"	"YMR139W"	0.82	1.86	2.29	1.92	1.45	1.4	1.01
"4825"	"YMR140W"	0.73	0.74	0.96	0.88	0.94	0	0.76
"4826"	"YMR141C"	1.03	1.39	1.62	1.3	1.04	1.14	0.96
"4827"	"YMR143W"	26.18	30.28	18.38	11.55	11.24	16.8	16.45
"4828"	"YMR144W"	0.64	0.68	0.52	0.76	0.48	0.34	0.53
"4829"	"YMR145C"	4.44	5.59	4.18	3.25	2.97	3.3	3.32
"4830"	"YMR146C"	4.9	5.18	3.54	3.14	3.98	5.32	4.86
"4831"	"YMR147W"	0	0	0	0	0	0	0
"4832"	"YMR148W"	1.04	1.69	1.59	1.76	2	1.37	1.18
"4833"	"YMR149W"	4.74	4.98	5.6	5.68	6.17	6.08	6.21
"4834"	"YMR150C"	1.57	2.37	1.95	2.15	2.26	2.21	2.08
"4835"	"YMR151W"	0	0	0	0	0	0	0
"4836"	"YMR152W"	0.85	1.69	2.34	2.26	2.44	1.37	1.11
"4837"	"YMR153C-A"	0	0	0	0	0	0	0
"4838"	"YMR153W"	1	0.69	0.72	0.69	0.84	1	1.38
"4839"	"YMR154C"	0.33	0.24	0.26	0.24	0.28	0.3	0.3
"4840"	"YMR155W"	0.36	0.39	0.44	0.48	0.47	0.36	0.45
"4841"	"YMR156C"	0.49	0.62	0.61	0.65	0.69	0.61	0.53
"4842"	"YMR157C"	0.81	1.22	1.32	1.26	1.09	0.92	0.72
"4843"	"YMR158C-A"	0	0	0	0	0	0	0
"4844"	"YMR158W"	1.38	2.54	2.44	1.87	2.11	1.49	1.24
"4845"	"YMR158W-A"	0	0	0	0	0	0	0
"4846"	"YMR159C"	0	0	0	0	0	0	0
"4847"	"YMR160W"	0.66	0.83	1.02	0.99	0.95	0.66	0.68
"4848"	"YMR161W"	1.02	1.31	1.16	1	1.2	1.14	1.29
"4849"	"YMR162C"	1.12	1	0.88	1.06	0.82	0.89	0.76
"4850"	"YMR163C"	0.57	0.58	0.63	0.57	0.61	0.48	0.68
"4851"	"YMR164C"	0.82	0.68	0.71	0.62	0.82	0.7	0.78
"4852"	"YMR165C"	1.33	1.29	1.46	1.43	1.4	1.35	1.12
"4853"	"YMR166C"	0.77	1.11	1.02	1.27	1.25	0.77	0.77
"4854"	"YMR168C"	0.51	0.43	0.48	0.46	0.52	0.46	0.54
"4855"	"YMR169C"	1.2	1.64	2.65	3.31	3.62	2.23	2.14
"4856"	"YMR171C"	1.2	1.19	1.21	0.96	1.03	1.06	1.06
"4857"	"YMR172C-A"	0	0	0	0	0	0	0
"4858"	"YMR172W"	0.49	0.26	0.35	0.37	0.41	0.42	0.47
"4859"	"YMR173W"	1.51	7.31	8.81	8.05	9.45	11.23	8.22
"4860"	"YMR173W-A"	0	0	0	0	0	0	0
"4861"	"YMR174C"	1.06	1.85	2.32	2.63	2.26	2.05	1.35
"4862"	"YMR175W"	0	0	0	0	0	0	0
"4863"	"YMR176W"	1.08	0.74	0.93	0.7	0.86	0.78	0.84
"4864"	"YMR177W"	1.02	0.94	0.76	0.68	0.8	0.96	1.1
"4865"	"YMR178W"	1.03	1.49	1.44	1.34	1.29	1.45	1.19
"4866"	"YMR179W"	0.69	0.44	0.48	0.48	0.56	0.33	0.51
"4867"	"YMR180C"	0.53	0.54	0.59	0.64	0.68	0.6	0
"4868"	"YMR181C"	0.86	1.26	2.13	1.83	1.8	1.88	1.29
"4869"	"YMR182C"	0	0	0	0	0	0	0
"4870"	"YMR183C"	2.88	3.11	3.13	2.71	3	2.6	3.5
"4871"	"YMR184W"	1.44	2.74	3.31	3.83	5.19	6.09	4.95
"4872"	"YMR187C"	0.64	0.56	0.67	0.71	0.78	0.88	0.93
"4873"	"YMR188C"	2.05	2.6	3.05	2.97	2.92	1.79	2.16
"4874"	"YMR190C"	0	0	0	0	0	0	0
"4875"	"YMR191W"	1.23	1.23	2.23	2.73	3.14	3.2	2.69
"4876"	"YMR192W"	0.71	0.47	0.53	0.61	0.66	0.64	0.69
"4877"	"YMR193C-A"	0	0	0	0	0	0	0
"4878"	"YMR193W"	0.99	1.51	1.84	1.51	1.55	0.97	0.99
"4879"	"YMR195W"	1.71	4.05	6.39	6.13	5.27	3.26	2.08
"4880"	"YMR197C"	1.87	3.64	5.49	5.68	5.15	2.94	2.24
"4881"	"YMR198W"	0.63	0.52	0.6	0.56	0.49	0.3	0.5
"4882"	"YMR199W"	1.11	0.91	1.12	1.08	1.48	1	1.48
"4883"	"YMR201C"	1.2	1.26	1.38	1.36	1.38	1.38	1.28
"4884"	"YMR202W"	18.6	23.87	16.53	16.53	18.73	18.09	18.99
"4885"	"YMR203W"	1.83	2.57	2.6	2.83	2.3	2.01	1.54
"4886"	"YMR204C"	0.37	0.39	0.4	0.39	0.46	0.23	0.4
"4887"	"YMR206W"	0	0	0	0	0	0	0
"4888"	"YMR207C"	0	0	0	0	0	0	0
"4889"	"YMR208W"	1.14	0.91	0.89	0.8	1.15	1.2	1.13
"4890"	"YMR209C"	0.89	0.76	0.6	0.58	0.56	0.59	0.8
"4891"	"YMR210W"	0.53	0.68	0.65	0.56	0.57	0.42	0.43
"4892"	"YMR212C"	1.02	0.61	0.69	0.58	0.72	0.72	0.87
"4893"	"YMR213W"	0.37	0.23	0.24	0.26	0.29	0.24	0.32
"4894"	"YMR214W"	1	1.15	1.3	1.05	1.92	2.4	2.41
"4895"	"YMR215W"	2.64	2.66	1.97	1.69	1.5	1.56	2.87
"4896"	"YMR216C"	0.77	0.45	0.48	0.46	0.6	0.68	0.69
"4897"	"YMR218C"	0.88	0.64	0.66	0.66	0.79	0.68	0.97
"4898"	"YMR219W"	1.06	0.93	0.91	0.94	0.76	0.87	0.78
"4899"	"YMR220W"	1.35	1.26	1.2	1.09	1.32	1.48	1.56
"4900"	"YMR221C"	1.23	0.93	0.7	0.77	0.9	1.05	1.18
"4901"	"YMR222C"	0.9	1.02	0.96	0.9	1.13	1.19	0.85
"4902"	"YMR223W"	0.66	0.46	0.43	0.43	0.5	0.5	0.5
"4903"	"YMR224C"	0.69	0.47	0.53	0.54	0.65	0.57	0.67
"4904"	"YMR225C"	1.78	2.66	2.89	3.16	2.54	2.62	1.79
"4905"	"YMR227C"	0.59	0.3	0.28	0.32	0.41	0.41	0.56
"4906"	"YMR228W"	0.78	0.85	0.89	0.92	0.73	1	0.97
"4907"	"YMR230W"	7.94	9.32	5.31	3.81	3.34	4.59	4.92
"4908"	"YMR232W"	0.64	0.47	0.48	0.48	0.48	0.49	0.57
"4909"	"YMR233W"	1.01	0.89	0.82	0.81	0.61	0.89	0.75
"4910"	"YMR234W"	0.68	0.61	0.51	0.55	0.58	0.64	0.72
"4911"	"YMR235C"	3.56	3.64	2.96	2.74	2.91	3.47	3.4
"4912"	"YMR236W"	1.81	2.36	2.08	2.12	2.32	2.28	2.14
"4913"	"YMR237W"	0.99	1.1	1.29	1.28	1.3	1.15	0.97
"4914"	"YMR238W"	2.58	0	2.85	3.27	3.94	6.41	4.2
"4915"	"YMR239C"	1.7	0.39	0.31	0.43	0.48	0.78	1.05
"4916"	"YMR240C"	1.31	0.96	0.92	0.94	1.12	1.05	1.33
"4917"	"YMR241W"	3.51	3.34	1.79	1.47	1.79	2.38	3.1
"4918"	"YMR243C"	5.06	3.76	2.53	2.83	3.1	3.43	4
"4919"	"YMR244C-A"	0	0	0	0	0	0	0
"4920"	"YMR244W"	0	0	0	0	0	0	0
"4921"	"YMR245W"	0.56	0.83	0.86	0.87	0.83	0.77	0.76
"4922"	"YMR246W"	3.45	1.48	0.76	0.83	1.11	3.06	3.75
"4923"	"YMR251W"	12.35	37.97	50.8	62.98	62.55	41.26	20.63
"4924"	"YMR251W-A"	0	0	0	0	0	0	0
"4925"	"YMR252C"	1.24	2.23	2.51	2.49	2.58	2.44	2.26
"4926"	"YMR253C"	0.78	1.01	1.36	1.4	1.4	1.26	1.08
"4927"	"YMR254C"	0	0	0	0	0	0	0
"4928"	"YMR255W"	1.71	2.03	1.96	1.6	1.88	1.88	1.78
"4929"	"YMR256C"	3.18	6.13	4.95	3.94	3.31	3.26	2.98
"4930"	"YMR257C"	0	0	0	0	0	0	0
"4931"	"YMR260C"	7.59	7.91	5.33	3.42	3.26	3.96	5.15
"4932"	"YMR261C"	2.24	2.53	2.68	2.85	2.38	1.89	1.78
"4933"	"YMR262W"	0.58	0.93	0.95	0.71	0.77	0.58	0.53
"4934"	"YMR263W"	0.92	0.94	0.9	0.84	0.88	1.12	1.13
"4935"	"YMR264W"	2.16	2.7	2.41	2.59	3.12	2.89	2.85
"4936"	"YMR265C"	0.52	0.52	0.44	0.4	0.41	0.66	0.62
"4937"	"YMR266W"	1.4	0.88	0.93	0.8	0.97	1.22	0.93
"4938"	"YMR267W"	1.01	1.5	1.65	1.58	1.56	1.2	1.13
"4939"	"YMR268C"	0.62	0.45	0.43	0.43	0.45	0.42	0.4
"4940"	"YMR269W"	2	0.58	0.48	0.6	0.64	1.08	1.54
"4941"	"YMR270C"	1.26	1.02	0.94	0.77	0.95	0.86	1.32
"4942"	"YMR271C"	0.8	0.93	1.15	1.36	1.78	1.66	1.12
"4943"	"YMR272C"	2.53	3.38	2.9	3.31	3.65	4.46	3.43
"4944"	"YMR274C"	1.15	1.02	0.87	0.96	0.82	0.98	1.2
"4945"	"YMR275C"	0.58	0.47	0.63	0.83	0.88	0.84	0.72
"4946"	"YMR277W"	0.79	0.5	0.51	0.45	0.51	0.53	0.7
"4947"	"YMR278W"	0.89	0.94	1.21	1.19	1.12	1	1.09
"4948"	"YMR279C"	0	0	0	0	0	0	0
"4949"	"YMR280C"	0	0	0	0	0	0	0
"4950"	"YMR281W"	0.61	0.95	0.93	0.73	0.67	0.61	0.55
"4951"	"YMR282C"	0.95	0.93	1.05	0.99	1.03	0.73	0.94
"4952"	"YMR283C"	0.77	0.67	0.65	0.65	0.63	0.63	0.77
"4953"	"YMR284W"	1.36	1.92	2.38	1.92	1.83	1.08	1.33
"4954"	"YMR285C"	1.04	0.94	0.83	0.85	0.89	0.92	1.03
"4955"	"YMR286W"	2.48	4	3.81	3.27	2.83	3.03	2.1
"4956"	"YMR287C"	1.07	1.07	1.19	1.12	1.22	1.14	1.22
"4957"	"YMR288W"	0.66	0.39	0.39	0.47	0.54	0.56	0.62
"4958"	"YMR289W"	1.37	1.28	1.3	1.21	1.31	1.33	1.53
"4959"	"YMR290W-A"	0	0	0	0	0	0	0
"4960"	"YMR291W"	1.01	1.54	2.62	2.79	2.23	2.01	1.56
"4961"	"YMR292W"	2.95	3.25	2.48	2.23	2.36	2.67	3.01
"4962"	"YMR293C"	0	0	0	0	0	0	0
"4963"	"YMR294W"	0	0	0	0	0	0	0
"4964"	"YMR294W-A"	1.52	2.06	1.8	1.55	1.78	2.63	2.32
"4965"	"YMR296C"	2.37	2.06	2.06	2.49	2.49	3	2.39
"4966"	"YMR297W"	5.25	9.27	12.94	19.07	20.72	19.74	12.41
"4967"	"YMR298W"	2.45	4.36	4.45	3.56	4.04	4.57	3.54
"4968"	"YMR299C"	1.4	1.64	1.58	1.7	1.77	1.71	1.56
"4969"	"YMR300C"	0	0	0	0	0	0	0
"4970"	"YMR301C"	0.87	0.59	0.46	0.47	0.61	0.79	0.98
"4971"	"YMR304C-A"	0	0	0	0	0	0	0
"4972"	"YMR304W"	0	0	0	0	0	0	0
"4973"	"YMR306C-A"	0	0	0	0	0	0	0
"4974"	"YMR306W"	0	0	0	0	0	0	0
"4975"	"YMR307W"	18.53	15.37	11.1	11.89	13.75	21.14	21.73
"4976"	"YMR308C"	0	0	0	0	0	0	0
"4977"	"YMR309C"	2.7	1.41	1.02	1.08	1.41	2.13	1.76
"4978"	"YMR310C"	1.34	0.6	0.43	0.43	0.59	1.04	1.2
"4979"	"YMR311C"	1.49	2.55	3.2	2.95	3.11	2.58	2.1
"4980"	"YMR312W"	1.52	1.22	0.81	0.82	1.01	1.38	1.83
"4981"	"YMR316C-A"	0	0	0	0	0	0	0
"4982"	"YMR316C-B"	0	0	0	0	0	0	0
"4983"	"YMR316W"	2.63	3.86	3.86	4.78	2.51	18.21	8.74
"4984"	"YMR317W"	0	0	0	0	0	0	0
"4985"	"YMR319C"	1.41	1.31	1.19	1.24	1.39	0.82	1.07
"4986"	"YMR320W"	0.69	0.51	0.49	0.49	0.41	0.72	0.51
"4987"	"YMR321C"	5.22	5.52	2.98	2.09	2.56	3.77	4.54
"4988"	"YMR322C"	0	0	0	0	0	0	0
"4989"	"YMR323W"	0	0	0	0	0	0	0
"4990"	"YMR324C"	0	0	0	0	0	0	0
"4991"	"YMR325W"	0	0	0	0	0	0	0
"4992"	"YMR326C"	0	0	0	0	0	0	0
"4993"	"YNL001W"	1.47	1.28	0.92	0.91	1.09	1.4	1.2
"4994"	"YNL002C"	2.38	0.76	0.4	0.43	0.71	1.76	1.78
"4995"	"YNL003C"	1.41	2.08	2.23	2.39	2.05	2.34	2.17
