R0	R10	R20	R30	R40	R60	R90	fit.cluster
YDL166C	1.78	1.44	1.42	1.38	1.52	1.99	1.97	4
YDL169C	0	0	0	0	0	0	0	4
YDL170W	0.95	0.75	0.71	0.58	0.64	0.68	0.83	4
YDL172C	0	0	0	0	0	0	0	4
YDL173W	2.86	2.74	2.58	2.67	3.52	3.8	3.8	4
YDL174C	2.03	2.69	3.07	3.16	3.29	2.57	2.41	4
YDL175C	0.61	0.62	0.57	0.52	0.61	0.61	0.54	4
YDL176W	0.63	0.47	0.49	0.53	0.42	0.56	0.64	4
YDL177C	0.81	0.9	0.82	0.8	0.88	0.87	0.87	4
YDL178W	0	0	0	0	0	0	0	4
YDL179W	0.68	0.61	0.64	0.71	0.91	0.83	0.61	4
YDL180W	1.57	3.82	3.17	2.92	2.8	1.53	1.83	4
YDL181W	1.83	5.51	4.86	3.54	2.91	1.88	1.59	4
YDL182W	4.44	5.47	4.17	3.92	4.63	4.93	4.32	4
YDL183C	0.41	0.51	0.55	0.6	0.57	0.5	0.41	4
YDL184C	125.56	209.71	166.83	130.89	107.8	92.56	88.78	3
YDL186W	0	0	0	0	0	0	0	4
YDL187C	0	0	0	0	0	0	0	4
YDL189W	0.91	0.66	0.57	0.58	0.75	0.72	0.82	4
YDL190C	0	0	0	0	0	0	0	4
YDL191W	28.84	37.01	20.82	13.83	13.55	16.68	19.03	2
YDL192W	24.24	44	36.74	34.76	35.49	41.05	35.99	6
YDL193W	0.99	1.23	1.43	1.35	1.67	1.7	1.63	4
YDL194W	0	0	0	0	0	0	0	4
YDL196W	0	0	0	0	0	0	0	4
YDL197C	0.78	0.86	0.99	0.91	0.89	0.75	0.9	4
YDL198C	1.59	3.01	2.85	2.62	2.38	1.78	1.56	4
YDL199C	0	0	0	0	0	0	0	4
YDL200C	1.57	2.04	2.13	2.38	2.14	2.01	2.39	4
YDL202W	1.07	1.55	1.59	1.49	1.38	1	1.04	4
YDL203C	0.66	0.43	0.49	0.62	0.67	0.59	0.63	4
YDL204W	0.48	2.52	6.55	9.39	5.66	1.28	0.74	4
YDL205C	0.65	0.49	0.39	0.44	0.37	0.5	0.48	4
YDL206W	0.6	0	0	0	0	0	0	4
YDL207W	0.85	0	0	0	0	0	0	4
YDL208W	0	0	0	0	0	0	0	4
YDL209C	0	0	0	0	0	0	0	4
YDL210W	0	0	0	0	0	0	0	4
YDL211C	0	0	0	0	0	0	0	4
YDL212W	7.45	0	0	0	0	0	0	4
YDL213C	3.5	0	0	0	0	0	0	4
YDL214C	0	0	0	0	0	0	0	4
YDL215C	1.34	1.46	2.02	2.47	2.44	2.39	2.07	4
YDL216C	0	0	0	0	0	0	0	4
YDL217C	0	0	0	0	0	0	0	4
YDL218W	0	0	0	0	0	0	0	4
YDL219W	2.32	3.1	2.72	2.13	2.09	2.36	2.43	4
YDL220C	0.98	0.93	1.09	1.19	1.08	0.88	0.85	4
YDL221W	0	0	0	0	0	0	0	4
YDL222C	0	0	0	0	0	0	0	4
YDL224C	1.31	1.23	1.47	1.49	1.61	1.14	1.23	4
YDL225W	1.44	1.35	1.51	1.31	1.45	1.21	1.55	4
YDL227C	1.45	1.35	1.49	1.1	1.21	1.19	0.83	4
YDL228C	0	0	0	0	0	0	0	4
YDL230W	0.96	1.97	2.18	1.72	1.84	1.56	1.34	4
YDL231C	1.22	0.66	0.86	0.84	1.02	1.08	0.99	4
YDL232W	3.96	5.05	4.81	4.58	4.27	4.3	3.52	4
YDL233W	0.62	0.66	0.98	0.88	1.06	0	0.81	4
YDL234C	0.99	1.52	2.32	1.43	1.94	2.63	1.72	4
YDL235C	1.67	2.07	1.57	1.45	1.84	2.1	1.67	4
YDL237W	1.26	1.69	1.82	1.83	1.85	1.6	1.16	4
YDL238C	0.7	1.04	1.37	1.08	1.33	0.87	0.47	4
YDL239C	0	0	0	0	0	0	0	4
YDL241W	0	0	0	0	0	0	0	4
YDL242W	0	0	0	0	0	0	0	4
YDL243C	0.82	1.63	4.7	2.05	2.13	2.56	4.39	4
YDL244W	0.4	0.53	0.59	0.67	0.54	0.87	0.67	4
YDL245C	0	0	0	0	0	0	0	4
YDL246C	0	0	0	0	0	0	0	4
YDL247W	0	0	0	0	0	0	0	4
YDL248W	0.84	1.09	1.06	0.95	0.89	1.08	0.75	4
YDR003W	1.6	4.88	4.11	4.31	4.05	2.9	2.53	4
YDR004W	0	0	0	0	0	0	0	4
YDR005C	1.13	1.29	1.29	1.01	1.18	1.27	1.18	4
YDR006C	1.6	0	1.42	1.37	1.55	1.97	1.63	4
YDR007W	1.76	2.32	2.27	2.06	2.41	2.15	2.15	4
YDR008C	0.69	0.99	0.93	0.84	0.9	0.78	0.79	4
YDR009W	0	0	0	0	0	0	0	4
YDR010C	0	0	0	0	0	0	0	4
YDR013W	0.86	0.85	0.78	0.62	0	0.79	0.86	4
YDR014W	0.61	0.56	0.54	0.43	0.41	0.49	0.52	4
YDR014W-A	0	0	0	0	0	0	0	4
YDR015C	0	0	0	0	0	0	0	4
YDR016C	1.32	1.77	2.06	1.75	1.63	1.35	1.29	4
YDR018C	0	0	0	0	0	0	0	4
YDR020C	0.91	0.58	0.55	0.46	0.52	0.65	0.66	4
YDR021W	1.12	0.39	0.36	0.39	0.38	0.55	0.77	4
YDR024W	0.82	0.89	0.61	0.5	0.53	0.6	0.61	4
YDR025W	19.9	22.7	12.77	5.96	8.37	11.92	12.34	1
YDR026C	0.92	0.81	0.72	0.64	0.74	0.69	0.8	4
YDR029W	0	0	0	0	0	0	0	4
YDR030C	1.12	0.97	1.15	0.97	0.85	1.02	1.12	4
YDR031W	1.97	4.19	4.78	5.2	5.81	3.75	2.97	4
YDR033W	18.94	16.26	10.22	9.09	9.67	14.16	10.44	1
YDR034C	1.2	0.95	1.09	0.91	0.93	0.95	1.06	4
YDR036C	1.28	1.47	1.55	1.61	2.06	1.93	0	4
YDR039C	3.23	2.23	2.87	2.99	3.27	3.39	3.39	4
YDR040C	0	0	0	0	0	0	0	4
YDR041W	2.21	4.23	4.73	4.29	4.23	2.45	1.89	4
YDR042C	0	0	0	0	0	0	0	4
YDR043C	0.38	0.92	0.98	1.1	1.15	0.46	0.59	4
YDR046C	1.34	2.03	1.58	1.44	1.45	1.68	0.91	4
YDR047W	1.92	2.34	2.11	2.17	2.33	2.79	1.79	4
YDR048C	0	0	0	0	0	0	0	4
YDR049W	0.82	0.54	0	0.62	0.66	0.58	0.61	4
YDR051C	1.21	1.44	1.16	1.13	0.99	1.14	1.01	4
YDR052C	0.82	0.69	0.76	0.58	0.72	0	0.62	4
YDR053W	0	0	0	0	0	0	0	4
YDR054C	1.21	1.43	1.81	1.56	1.75	1.34	1.24	4
YDR055W	3.14	4.23	5.24	9.79	11.56	16.12	3.46	1
YDR056C	1.69	2.47	2.38	2.38	2.47	2.89	1.82	4
YDR057W	0.7	0.71	0.63	0.75	0.69	0.78	0.67	4
YDR058C	0.8	1.3	1.57	1.84	1.74	1.59	1.48	4
YDR059C	1.32	3.21	3.59	4.84	4.51	4.3	2.15	4
YDR060W	1.28	0.48	0.44	0.53	0.39	0.66	0.86	4
YDR061W	0.9	1.3	1.27	1.36	1.35	1.17	1.09	4
YDR063W	2.08	3.37	2.89	2.84	2.61	2.16	1.91	4
YDR065W	0.81	0.87	0.8	0.94	1.06	1.04	0.85	4
YDR066C	0.65	0.82	0.88	0.82	0.97	0.87	0.74	4
YDR067C	1.11	1.37	1.36	1.25	1.3	1.34	1.11	4
YDR070C	1.24	2.63	6.47	6.89	8.48	3.67	1.78	4
YDR072C	1.79	2.17	1.99	2.03	2.22	2.57	2.1	4
YDR073W	0.87	1.4	1.29	1.18	1.24	1.02	0.83	4
YDR075W	0.9	0.51	0.4	0.48	0.57	0.79	0.7	4
YDR076W	0.39	0.32	0.32	0.44	0.45	0.42	0.45	4
YDR077W	25.25	43.35	56.42	102.4	121.77	120.93	62.17	3
YDR078C	0.93	1.28	1.3	1.35	1.43	1.41	1.15	4
YDR079W	1.72	2.81	3.05	2.81	3.01	2.69	2.08	4
YDR080W	1.72	1.62	1.7	1.43	1.66	1.66	1.57	4
YDR081C	0.82	0.47	0.47	0.43	0.62	0.61	0.7	4
YDR082W	0.76	0.62	0.58	0.74	0.73	0.85	0.91	4
YDR083W	2.48	0.82	0.45	0.45	0.69	1.43	1.88	4
YDR084C	1.41	1.94	1.78	1.76	1.61	1.62	1.47	4
YDR086C	9.01	13.74	12.13	9.26	9.92	11.16	9.65	1
YDR087C	1.95	0.66	0.41	0.41	0.96	1.46	1.83	4
YDR088C	0.78	0.61	0.61	0.59	0.67	0.64	0.68	4
YDR089W	0.97	0.76	0.85	0.68	0.8	0.43	0.49	4
YDR090C	0.85	0.85	0.87	0.97	0.86	0.93	0.97	4
YDR092W	2.4	4.15	5.04	4.67	5.07	5.87	3.9	4
YDR094W	1.23	1.44	1.28	1.56	1.02	0.91	1.09	4
YDR095C	0	0	0	0	0	0	0	4
YDR096W	0.6	1.57	2.08	1.69	1.31	0.62	0.63	4
YDR100W	1.62	2.84	3.4	3.26	2.58	2.05	1.91	4
YDR102C	0	0	0	0	0	0	0	4
YDR103W	0.69	0.46	0.55	0.54	0.67	0.69	0.66	4
YDR104C	0	0	0	0	0	0	0	4
YDR105C	1.08	1.23	1.28	1.41	1.55	1.45	1.44	4
YDR106W	0.76	0.45	0.67	0.8	0.55	0.63	0.56	4
YDR108W	0.8	0.63	0.67	0.69	0.75	0.6	0.85	4
YDR109C	0.45	0.34	0.4	0.47	0.45	0.44	0.49	4
YDR110W	0.65	0.28	0.28	0.36	0.34	0.39	0.53	4
YDR112W	0	0	0	0	0	0	0	4
YDR114C	0	0	0	0	0	0	0	4
YDR115W	1.48	2.77	2.99	2.89	2.89	1.74	1.44	4
YDR116C	1.53	2.85	2.69	2.38	1.96	1.65	1.21	4
YDR117C	1.24	1.24	1.41	1.48	1.57	1.34	1.46	4
YDR118W	0.62	0.65	0.62	0.69	0.5	0.45	0.6	4
YDR119W	1.66	0.9	0.67	0.7	0.83	0.78	0.98	4
YDR121W	1.07	0.7	0.46	0.49	0.61	0.91	0.68	4
YDR122W	2.06	3.12	4.03	4.17	3.5	2.17	2.28	4
YDR123C	0.43	0.29	0.32	0.43	0.51	0.43	0.58	4
YDR124W	0	0	0	0	0	0	0	4
YDR125C	0	0	0	0	0	0	0	4
YDR126W	0.41	0.28	0.26	0.3	0.25	0.34	0.32	4
YDR130C	0.44	0.51	0.54	0.53	0.43	0.35	0	4
YDR131C	0.49	0.47	0.54	0.54	0.61	0.56	0.58	4
YDR132C	0	0	0	0	0	0	0	4
YDR133C	0	0	0	0	0	0	0	4
YDR134C	0	0	0	0	0	0	0	4
YDR135C	2.53	2.55	2.7	3.1	2.68	1.88	2.03	4
YDR136C	0	0	0	0	0	0	0	4
YDR137W	0.71	0.57	0.56	0.55	0.56	0.53	0.63	4
YDR138W	0.58	0.38	0.45	0.44	0.47	0.4	0.5	4
YDR139C	4.18	5.18	4.64	4.39	4.01	4.8	4.15	4
YDR140W	1.04	1.23	1.13	1.13	1.12	1.05	1.19	4
YDR142C	0.62	0.68	0.62	0.67	0.65	0.73	0.65	4
YDR143C	0.86	0.59	0.51	0.44	0.59	0.69	0	4
YDR144C	2.17	1.32	1	0.76	0.82	0.67	1.28	4
YDR145W	1.19	0.9	0.88	0.79	0.94	0.86	1.02	4
YDR146C	0.83	0.63	0.79	0.72	0.75	0.31	0.68	4
YDR147W	0.59	0.44	0.38	0.37	0.45	0.4	0.56	4
YDR149C	0	0	0	0	0	0	0	4
YDR151C	0	0	0	0	0	0	0	4
YDR152W	1.95	1.56	1.07	1.13	1.09	1.45	1.7	4
YDR153C	0	0	0	0	0	0	0	4
YDR154C	0	0	0	0	0	0	0	4
YDR155C	0	0	0	0	0	0	0	4
YDR156W	1.7	1.46	1.04	1.5	1.33	2.01	1.71	4
YDR157W	0	0	0	0	0	0	0	4
YDR158W	0	0	0	0	0	0	0	4
YDR159W	0.8	0.63	0.72	0.68	0.63	0.58	0.66	4
YDR160W	0	0	0	0	0	0	0	4
YDR161W	0	0	0	0	0	0	0	4
YDR162C	1.01	1.09	1.18	1.14	1.12	1.09	1.12	4
YDR163W	0.92	0.92	0.93	0.92	1.02	1.11	0.99	4
YDR164C	0.91	0.74	0.82	0.81	0.99	0.96	0.97	4
YDR166C	1.23	1.1	1.2	1.17	1.15	1.07	0.89	4
YDR169C	0.72	0.86	1.15	1.09	1.22	0.96	0.86	4
YDR171W	1.16	27.17	37.64	14.77	14.46	9.03	5.75	2
YDR172W	3.96	2.72	2.49	2.37	2.86	3.49	3.85	4
YDR173C	0.54	0.71	0.68	0.58	0.62	0.55	0.53	4
YDR175C	1.1	1.67	1.84	1.71	1.65	1.19	1.02	4
YDR176W	0.88	0.79	0.98	0.89	1.01	0.83	0.86	4
YDR177W	3.62	6.13	6.9	6	6.57	5.41	5.26	1
YDR178W	2.41	7.01	6.45	5.5	4.75	3.36	2.83	1
YDR179C	0.81	0.66	0.61	0.66	0.75	0.75	0.91	4
YDR179W-A	0	0	0	0	0	0	0	4
YDR181C	0.7	0.61	0.62	0.58	0.67	0.46	0.58	4
YDR182W	1.25	1.78	1.77	1.45	1.47	1.24	1.17	4
YDR183W	0.65	0.77	0.79	0.69	0.83	0.86	0.61	4
YDR184C	1.77	0.76	0.44	0.64	0.76	1.62	1.41	4
YDR185C	0.53	0.57	0.45	0.4	0.36	0.44	0.38	4
YDR186C	1.21	0.83	1.12	1.21	1.28	1.25	1.65	4
YDR187C	0	0	0	0	0	0	0	4
YDR189W	1.09	0.86	0.9	0.93	1.21	1.4	1.46	4
YDR190C	3.24	2.82	2.49	2.31	2.65	3.26	3.42	4
YDR191W	0.58	0.94	0.73	0.67	0.77	0.64	0.51	4
YDR192C	1	0.86	0.93	0.91	0.94	1.09	1.12	4
YDR193W	0	0	0	0	0	0	0	4
YDR194C	2.81	2.97	4.14	3.55	3.48	2.86	2.44	4
YDR195W	0.84	0.72	0.7	0.73	0.74	0.63	0.74	4
YDR196C	1.53	2.19	2.5	2.54	1.7	2.01	1.79	4
YDR197W	0.65	0.68	0.74	0.69	0.77	0.72	0.7	4
YDR198C	1.06	0.64	0.62	0.77	0.67	1.03	0.98	4
YDR199W	0	0	0	0	0	0	0	4
YDR200C	0.76	0.67	0.89	0.86	0.7	0.58	0.82	4
YDR201W	1.25	1.78	1.66	1.49	1.48	1.13	1.42	4
YDR202C	0.65	0.94	1.23	0.98	0.79	0.98	0.85	4
YDR203W	0	0	0	0	0	0	0	4
YDR204W	0.68	1.37	2.08	1.94	1.57	1.8	1.11	4
YDR205W	0.52	0.45	0.41	0.5	0.56	0.49	0.5	4
YDR206W	0.81	0.44	0.45	0.48	0.53	0.61	0.8	4
YDR208W	1.05	0.91	1.14	1.05	0	0.94	1	4
YDR209C	1.21	1.66	1.48	1.22	1.28	1.78	2.4	4
YDR210W	4.31	6.67	5.38	4.62	3.57	5.81	8.86	1
YDR210W-B	0	0	0	0	0	0	0	4
YDR211W	1.71	1.08	0.91	0.82	1.08	1.18	1.52	4
YDR212W	2.79	3.01	3.32	3.51	3.53	4.32	3.41	4
YDR213W	0.68	0.46	0.4	0.47	0	0.55	0	4
YDR214W	2.12	8.76	10.56	8.64	6.15	7.68	7.21	1
YDR215C	0.84	0.74	0.66	0.59	0.49	0	0.44	4
YDR216W	1.55	4.63	2.1	4.35	2.06	1.38	0	4
YDR218C	0	0	0	0	0	0	0	4
YDR219C	0.74	0	0.81	0.74	0	0	0.7	4
YDR220C	0.97	0.83	0.89	0.89	0.64	0	0	4
YDR221W	1.05	0.82	0.89	0.96	1.1	1.09	1.19	4
YDR222W	0.83	0.51	0.36	0.38	0.45	1.27	1.56	4
YDR223W	0.57	0.48	0.45	0.69	0.7	0.94	0.68	4
YDR224C	27.53	43.2	32.74	22.83	20.58	37.87	36.33	2
YDR225W	23.19	36.38	22.09	16.74	14.17	26.27	26.63	2
YDR227W	1.42	0.88	1.01	0.9	0.95	0.74	1.37	4
YDR228C	0.96	0.92	0.92	0.8	1.04	0.73	0.94	4
YDR229W	0.83	1.05	1.13	1.37	1.17	0.9	1.02	4
YDR230W	0	0	0	0	0	0	0	4
YDR231C	1.15	4.41	4.38	4.35	2.89	2.89	2.48	4
YDR232W	1.51	1.26	0.87	1.39	1.27	2.88	1.49	4
YDR233C	9.39	11.08	8.17	8	8.46	9.45	8.06	1
YDR235W	0.96	0.98	1.02	0.89	0.74	0.9	0.95	4
YDR236C	1.11	1.59	1.51	1.59	1.72	1.66	1.27	4
YDR237W	1.35	2.24	2.5	2.1	1.87	1.53	1.3	4
YDR238C	2.54	1.82	2.63	2.35	2.29	2.05	2.35	4
YDR239C	0.77	0.49	0.57	0.55	0.55	0.57	0.77	4
YDR240C	0.55	0.37	0.36	0.37	0.42	0.46	0.51	4
YDR241W	0	0	0	0	0	0	0	4
YDR242W	0.67	0.6	0.64	0.75	0.83	1.04	0.94	4
YDR243C	0.9	0.61	0.65	0.71	0.71	0.79	1.02	4
YDR244W	1.15	1.09	1.49	1.36	1.3	0.68	1.07	4
YDR245W	2.49	2.37	1.92	1.56	1.71	1.69	2.03	4
YDR246W	0.84	1.31	1.47	1.46	1.05	1.39	0.88	4
YDR247W	0.63	1.09	1.4	1.38	1.15	1.63	0.7	4
YDR248C	1.08	3.74	4.54	4.7	4.32	3.66	2.61	4
YDR250C	0.47	0.33	0.45	0.38	0.37	0.32	0.37	4
YDR252W	0.42	0.44	0.42	0.38	0.4	0.32	0.43	4
YDR253C	0.7	0.94	0.78	0.83	1.02	0.67	0.73	4
YDR254W	0.34	0.5	0.5	0.47	0.43	0.25	0.38	4
YDR255C	0.46	0.72	0.7	0.65	0.68	0.36	0.49	4
YDR256C	0	0	0	0	0	0	0	4
YDR257C	0.85	0.77	0.82	0.79	0.85	0.68	0.79	4
YDR258C	2.18	9.09	7.38	6.17	5.48	5.04	5.22	1
YDR259C	0.9	1.64	1.58	1.56	1.67	0.9	0.97	4
YDR260C	0.79	1.08	1.05	1.19	1.14	1.27	0.83	4
YDR261C	1.35	1.26	1.19	1.45	1.6	1.5	1.67	4
YDR261W-B	0	0	0	0	0	0	0	4
YDR262W	0.95	1.03	0.95	0.97	1.09	1.43	1.37	4
YDR263C	0.34	0.29	0.26	0.24	0.28	0.22	0.36	4
YDR264C	1.43	1.19	1.25	1.56	1.83	1.74	1.91	4
YDR265W	0.78	0.88	0.83	0.9	0.95	0.94	0.91	4
YDR266C	1.05	0.78	0.76	0.75	0.83	0.7	0.93	4
YDR267C	1.68	1.67	1.6	1.52	1.55	2.15	1.67	4
YDR268W	0.97	1.25	1.44	1.29	1.47	1.4	1.07	4
YDR269C	0	0	0	0	0	0	0	4
YDR270W	0.53	0.93	0.75	0.68	0.84	0.57	0.54	4
YDR271C	0	0	0	0	0	0	0	4
YDR273W	0.52	0.46	0.59	0.55	0.7	0.72	0.55	4
YDR274C	0	0	0	0	0	0	0	4
YDR275W	1.33	1.09	1.66	2.07	1.98	1.73	1.49	4
YDR276C	32.27	58.58	72.12	66.36	56.58	55.8	31.61	6
YDR277C	0.44	1.44	1.75	0.93	0.61	0.22	0.22	4
YDR278C	0	0	0	0	0	0	0	4
YDR280W	1.75	1.35	1.14	1.1	1.16	1.55	1.55	4
YDR281C	1.17	0.53	0.34	0.4	0.7	0.98	0.87	4
YDR282C	1.06	1.17	1.42	1.56	1.07	1.34	1.38	4
YDR283C	0.87	0.77	0	0.67	0.68	0.73	0.96	4
YDR284C	1.25	1.81	1.86	1.9	1.62	1.61	1.51	4
YDR285W	0.54	0.39	0.47	0.48	0.46	0.35	0.44	4
YDR286C	1.14	1.51	2	2.06	1.19	1.43	1.25	4
YDR287W	0.44	0.73	0.87	1.02	1.03	0.91	0.72	4
YDR288W	0.76	0.77	0.81	0.79	0.6	0.7	0.74	4
YDR289C	0.83	0.81	0.83	0.71	0.81	0.69	0.78	4
YDR290W	0	0	0	0	0	0	0	4
YDR291W	0.98	0.71	0.79	0.75	0.84	0.79	0.8	4
YDR292C	1.7	1.45	1.38	1.15	1.26	1.3	1.53	4
YDR294C	1.98	2.67	3.28	3.13	3.4	4.16	2.21	4
YDR295C	1.19	0.93	1.1	0.99	1.36	0.95	1.24	4
YDR296W	1.15	1.51	1.75	1.42	1.62	1.46	1.27	4
YDR297W	2.99	2.4	1.26	1.28	1.73	5.1	3.23	4
YDR300C	1.62	0.9	0.48	0.57	0.63	1.21	1.32	4
YDR301W	1.29	1.07	1.09	1.08	1.07	1.01	1.1	4
YDR302W	1.68	1.82	1.77	1.68	1.67	1.85	1.6	4
YDR303C	2.09	1.55	1.57	1.49	2.08	1.15	2.01	4
YDR305C	0.97	1.27	1.25	1.12	1.22	1.11	1.16	4
YDR306C	1.37	1.72	1.92	1.67	1.8	1.82	1.73	4
YDR307W	0.83	0.98	1	1.07	1.14	0.75	0.79	4
YDR309C	1.49	1.11	0.89	0.88	1.58	1.98	2.05	4
YDR313C	0.42	0.51	0.52	0.47	0.49	0.45	0.45	4
YDR314C	0	0	0	0	0	0	0	4
YDR315C	0.66	1.04	0.92	0.86	1.06	0.82	0.73	4
YDR316W	0.99	1.28	1.47	1.33	0.89	0.74	0.81	4
YDR317W	0.42	0.42	0.4	0.44	0.44	0.56	0.53	4
YDR318W	0.84	0.99	0.9	0.96	0.75	0.78	0.91	4
YDR319C	0.81	1.16	1.01	1.07	1.17	1.09	1	4
YDR320C	0.49	0.48	0.6	0.58	0.62	0.8	0.81	4
YDR321W	2.99	2.22	1.2	0.9	1.01	1.92	2.48	4
YDR322C-A	0	0	0	0	0	0	0	4
YDR322W	0.97	1.36	1.44	1.4	1.26	1.17	0.88	4
YDR323C	0.6	0.58	0.51	0.59	0.73	0.5	0.67	4
YDR324C	0	0	0	0	0	0	0	4
YDR325W	0.94	0.69	0.7	0.63	0.71	0.46	0.9	4
YDR326C	0.94	0.58	0.67	0.49	0.7	0.4	0.67	4
YDR327W	1.37	2.3	2.07	1.93	2.04	1.75	1.52	4
YDR329C	0.86	1.22	1.32	1.1	1.24	0.8	0.9	4
YDR330W	0.39	0.78	0.85	0.9	0.84	0.67	0.54	4
YDR331W	0.99	0.86	0.7	0.65	0.65	0.75	0.65	4
YDR332W	0.46	0.39	0.38	0.4	0.39	0.43	0.52	4
YDR333C	0.93	0.69	0.7	0.66	0.75	0.73	0.74	4
YDR335W	1.28	1.35	1.61	1.57	1.53	1.13	1.18	4
YDR336W	0.63	0.74	0.61	0.61	0.51	0.57	0.6	4
YDR338C	0	0	0	0	0	0	0	4
YDR339C	2.25	1.68	1.24	1.1	1.42	2	2.12	4
YDR340W	0	0	0	0	0	0	0	4
YDR342C	6.41	36.48	44.92	40.48	21.4	8.22	6.87	2
YDR343C	6.89	36.34	43.52	43.82	24.14	8.02	7.48	2
YDR344C	0	0	0	0	0	0	0	4
YDR345C	8.74	13.07	12.45	12.2	7.94	6.4	5.5	1
YDR346C	4.05	3.45	3.4	3.72	3.78	5.93	5.41	4
YDR347W	1.26	1.73	1.72	1.72	2.16	1.72	1.49	4
YDR348C	0.85	0.8	0.74	0.76	0.89	0.91	0.96	4
YDR349C	0.93	0.61	0.54	0.66	0.76	1.05	0.91	4
YDR350C	0.73	0.75	0.77	0.91	1.02	1.05	0.89	4
YDR351W	0.72	0.41	0.42	0.48	0.66	0.56	0.67	4
YDR352W	0.68	0.55	0.44	0.5	0.52	0.71	0.63	4
YDR355C	0	0	0	0	0	0	0	4
YDR356W	0.82	0.53	0.61	0.55	0.71	0.5	0.77	4
YDR357C	1.44	2.08	2.23	2.34	2.67	2.15	1.71	4
YDR358W	0.49	0.93	1.48	1.15	1.09	0.61	0.54	4
YDR360W	0	0	0	0	0	0	0	4
YDR361C	2.79	1.31	0.64	0.62	0.78	1.98	2.26	4
YDR362C	0.65	0.55	0.69	0.72	0.88	0.98	0.85	4
YDR363W	0.73	0.49	0.58	0.6	0.73	0.79	0.77	4
YDR363W-A	0	0	0	0	0	0	0	4
YDR364C	0.91	0.73	0.72	0.86	0.84	0.98	1.02	4
YDR365C	2.35	0.96	0.59	0.61	1.1	2.07	2.68	4
YDR366C	0	0	0	0	0	0	0	4
YDR367W	1.42	1.64	1.36	1.22	1.34	1.36	1.43	4
YDR370C	0.81	0.63	0.61	0.62	0.68	0.72	0.84	4
YDR371W	1.32	1.67	1.97	1.91	1.92	1.48	1.42	4
YDR372C	1.38	2.06	1.94	1.57	1.6	1.56	1.74	4
YDR373W	2.18	3.21	3.26	3.15	3.52	3.57	2.84	4
YDR374C	0	0	0	0	0	0	0	4
YDR375C	0.47	0.68	0.82	0.78	0.76	0.62	0.46	4
YDR376W	1.99	2.59	2.93	2.63	3.12	2.78	2.74	4
YDR377W	4.45	8.08	6.7	5.15	5.04	4.94	4.58	1
YDR380W	2.66	10.12	29.22	32.42	19.28	6.82	3.03	1
YDR383C	1.47	1.43	1.26	1.24	1.24	1.58	1.68	4
YDR384C	1.8	0.87	0.61	0.81	0.95	0.83	0.9	4
YDR386W	0.54	0.47	0.62	0.6	0.48	0.48	0.77	4
YDR387C	0.42	0.49	0.49	0.63	0.62	0.57	0.55	4
YDR388W	3.23	3.51	4.9	4.06	5.74	5.28	4.83	4
YDR389W	1.24	0.87	0.92	0.69	0.87	0.73	0.95	4
YDR391C	1.18	2.74	4.01	3.33	3.45	4.52	2.04	4
YDR392W	0.83	1.04	1.22	0.99	0.95	1.18	0.84	4
YDR393W	0.69	0.49	0.51	0.55	0.61	0.56	0.67	4
YDR394W	4.38	8.18	10.35	9.73	10.72	11.41	6.97	1
YDR395W	1.54	0.69	0.54	0.55	0.8	1.11	1.36	4
YDR396W	1.33	1.29	1.14	1.21	1.22	1.4	1.27	4
YDR398W	1.73	0.43	0.29	0.52	0.67	1.61	1.53	4
YDR400W	1.2	0.84	0.98	1.17	1.52	3.08	2.37	4
YDR401W	0	0	0	0	0	0	0	4
YDR402C	0	0	0	0	0	0	0	4
YDR403W	0.26	0.22	0.27	0.35	0	0.28	0.24	4
YDR404C	2.76	3.77	3.28	3.04	2.76	2.54	2.43	4
YDR405W	0.85	1.3	1.42	1.23	0	0.94	0.85	4
YDR407C	0.81	0.72	0.78	0.65	0	0.55	0.85	4
YDR409W	0.74	0.49	0.53	0.5	0.65	0.47	0.53	4
YDR410C	1.59	1.84	1.71	1.95	1.72	2.06	1.82	4
YDR411C	1.58	2.16	2.25	2.64	3.01	2.93	2.87	4
YDR412W	1.72	0.88	0.64	0.7	0.86	1.34	1.5	4
YDR413C	0	0	0	0	0	0	0	4
YDR414C	0.83	0.76	0.68	0.69	0.68	0.67	0.71	4
YDR415C	1.02	1.12	1.06	1.08	1.18	0.98	0.97	4
YDR416W	1.16	0.85	0.89	0.9	0.87	0.9	1	4
YDR417C	15.79	18.77	10.41	6.97	7.73	11.09	11.56	1
YDR419W	0.44	0.3	0.32	0.32	0.41	0.41	0.48	4
YDR420W	1.09	1.21	0.86	0.93	0.8	0.87	0.66	4
YDR421W	0.46	0.52	0.56	0.55	0.64	0.32	0.52	4
YDR422C	0.56	0.41	0.43	0.45	0.46	0.45	0.53	4
YDR423C	0.58	0.73	0.67	0.7	0.84	0.68	0.72	4
YDR424C	1.77	2.97	2.83	2.7	2.55	2.3	1.82	4
YDR425W	0.49	0.51	0.56	0.59	0.76	0.56	0.54	4
YDR426C	0.52	0.72	0.62	0.65	0.69	0.54	0.6	4
YDR427W	5.27	9.49	8.56	9.97	10.61	11.45	7.15	1
YDR428C	0.73	0.89	0.71	0.74	0	0.68	0.75	4
YDR429C	8.34	7.26	5.24	5.94	6.41	7.57	6.5	1
YDR431W	0	0	0	0	0	0	0	4
YDR433W	8.12	8.47	8.06	6.51	9.39	10.42	6.97	1
