"YORF"	"R0"	"R30"	"R60"	"R90"	"R120"	"R240"
"225"	"YGR094W"	477.08	244.2724692	374.7122746	431.5931366	413.0556856	429.8123763
"226"	"YGR116W"	154.5	127.7129997	159.9220338	134.4528097	129.2770741	130.8817098
"227"	"YGR119C"	82.93	81.79844801	74.27871429	73.342127	70.86350728	65.51358774
"228"	"YGR123C"	80.03	30.97752174	51.66746188	54.37348833	49.8966868	56.26597095
"229"	"YGR128C"	85.78	40.19248397	50.1441932	52.74262423	51.72134505	57.927871
"230"	"YGR148C"	538.72	373.4224075	535.8769349	467.9286934	508.3170953	533.5364544
"231"	"YGR157W"	192.8	131.6552792	199.0712719	162.5422532	160.0105	231.7921537
"232"	"YGR159C"	625.67	125.7056534	362.6465183	440.2319783	379.8046677	488.6445391
"233"	"YGR162W"	219.42	96.52428577	195.9059713	183.1632259	146.0031605	179.6824513
"234"	"YGR173W"	79.97	56.91945096	63.66981542	66.74743104	70.62344555	81.46761083
"235"	"YGR175C"	307.18	175.3192823	276.9627698	297.9168618	298.1803774	330.3480102
"236"	"YGR178C"	121.33	117.0238531	102.2901504	95.33263996	92.49121416	104.516664
"237"	"YGR185C"	386.18	307.5785972	441.7308545	324.0778663	348.6022804	298.5737429
"238"	"YGR186W"	97.6	129.2863351	90.30244796	90.44923234	89.04145591	77.13075565
"239"	"YGR187C"	98.6	61.20746581	64.20630345	62.42659553	52.37573938	58.92607984
"240"	"YGR200C"	79.17	41.62228383	56.02036249	62.21338238	60.88554979	65.3492737
"241"	"YGR204W"	355.13	255.8194261	374.5410365	344.0208773	361.9550798	368.2665893
"242"	"YGR208W"	96.1	68.15124496	88.80486515	61.67082699	71.86420871	85.05990496
"243"	"YGR210C"	100.9	53.96800135	75.26392688	80.50442605	86.46283912	81.55745562
"244"	"YGR211W"	122.25	60.41378436	70.57107698	71.52902945	71.68283663	106.4363363
"245"	"YGR229C"	114	91.72569424	152.4746249	138.3850113	122.4994724	159.3386824
"246"	"YGR233C"	31.73	14.28565136	22.79716746	27.72322247	25.07805444	23.95347578
"247"	"YGR234W"	314.93	132.7312928	198.0056223	161.6065589	155.2460969	201.8044484
"248"	"YGR245C"	101.15	24.81118556	48.75009155	60.67900247	50.29053151	63.85908888
"249"	"YGR264C"	227.8	114.07725	186.2710194	181.4990021	166.3380201	194.7868433
"250"	"YGR271C-A"	19	10.08689038	14.16036541	13.07582338	10.87451823	11.59542792
"251"	"YGR275W"	88.68	88.69785806	77.49531787	61.72818402	52.82648084	58.40375007
"252"	"YGR280C"	223.93	71.63513288	123.6508838	144.0679812	141.0690018	136.8336129
"253"	"YGR285C"	529.05	269.3828995	447.1792506	494.140522	490.521347	457.9592729
"254"	"YHL001W"	607.08	404.1939066	771.5105889	824.9511688	742.0472271	774.5886031
"255"	"YHL007C"	95.63	83.03954087	86.83250447	85.93978245	75.38387701	85.80708062
"256"	"YHL039W"	54.57	27.16000984	36.95704545	37.66283873	38.46208154	41.16491081
"257"	"YHR010W"	1322.55	816.0448462	1274.889204	1730.800531	1191.239339	1125.071385
"258"	"YHR013C"	86.07	65.54641074	74.83888387	76.74180886	89.25012084	88.79675466
"259"	"YHR023W"	48.72	37.99095854	44.33622074	53.6354606	43.38388772	42.37654167
"260"	"YHR025W"	296.75	169.011844	257.3363303	240.2421546	276.5355903	296.4923026
"261"	"YHR039C"	105.58	71.05703102	67.43247754	71.84382228	82.55569537	87.49693775
"262"	"YHR042W"	165.22	88.51885737	143.6512497	133.1655014	141.728765	182.9169495
"263"	"YHR052W"	169.77	76.59352972	116.0670608	117.4361886	95.86745043	136.3422165
"264"	"YHR063C"	95.82	88.70678323	77.28739362	71.58868775	82.24048946	75.10422044
"265"	"YHR066W"	92.33	41.00204702	60.38158644	58.16917295	46.04450658	68.29455856
"266"	"YHR068W"	359.83	201.5631	302.2112108	318.3758594	346.5010823	319.3289113
"267"	"YHR084W"	166.97	115.8357606	145.3749486	149.7715555	149.9585429	163.4742867
"268"	"YHR088W"	70.03	30.46375553	44.8950469	42.83835497	40.21638256	41.20136795
"269"	"YHR089C"	593.25	214.5712994	405.049154	445.2417137	485.9404349	547.4078206
"270"	"YHR098C"	111.3	85.13299982	117.991317	106.6330972	101.0072928	109.3019907
"271"	"YHR107C"	112.9	102.4466808	108.1325296	116.2716773	99.82252249	106.0004604
"272"	"YHR108W"	143.85	126.7173165	142.6193506	136.8195029	134.8061101	124.352796
"273"	"YHR117W"	59.92	42.07128255	57.27126979	59.70008507	57.83313888	64.09193937
"274"	"YHR121W"	151.23	132.1351044	155.9716442	169.0621885	140.6851701	163.010157
"275"	"YHR132C"	96.67	114.8152861	119.0914022	108.4718465	116.4470931	114.140719
"276"	"YHR135C"	102.23	117.550625	95.79409001	89.46316916	86.75465532	97.04532847
"277"	"YHR143W-A"	319.97	204.9418614	352.9373407	354.0678542	358.0496281	379.8902639
"278"	"YHR158C"	54.8	59.53946087	63.9402335	59.01491236	54.34381026	58.20780189
"279"	"YHR163W"	143.83	110.127925	117.6590906	133.7177806	135.635962	125.9517528
"280"	"YHR170W"	180.52	65.3581881	95.05970475	114.232911	112.2586746	144.4439523
"281"	"YHR179W"	730.42	478.034367	358.3818471	382.5065731	400.2746111	433.8089118
"282"	"YHR188C"	79.97	62.37693579	71.45861801	80.28563095	71.24354213	78.40186547
"283"	"YHR196W"	133	83.34983515	74.06176576	92.69156932	72.76110802	70.40909525
"284"	"YHR197W"	66.85	26.60804545	33.52132189	39.00614512	36.12559661	41.04267723
"285"	"YHR201C"	78.62	94.60551083	63.69727055	60.58853585	60.08559123	64.01175851
"286"	"YHR205W"	67.9	47.3940906	48.61595406	57.79427384	49.12754018	48.82392894
