	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YBL105C			17					29	0.73	0.62	0.62	0.65	0.65	0.56	0.59
YER184C	65	23					78		0.54	0.49	0.5	0.58	0.71	0.76	0.84
YOR227W				40	35		17	11	0.79	0.92	1.31	1.5	1.42	0.74	0.87
YKL089W	21				14				0.6	0.46	0.48	0.49	0.53	0.36	0.62
YHL008C		16						21	0.79	0.84	0.97	0.95	0.97	0.72	0.65
YGR081C			125	85					1.62	1.04	0.74	0.79	0.89	1.05	1.41
YOR052C							98	152	3.17	14.86	19.6	14.96	12.24	12.67	7.64
YNL136W				32	63	107			0.83	0.53	0.49	0.53	0.71	0.61	0.74
YBR261C						87		35	1.27	1.55	1.41	1.57	1.55	2.14	1.65
YFR002W					211	43	273	31	0.9	0.75	0.81	0.74	0.81	0.56	0.76
YPL207W					34		35		1.58	0.7	0.65	0.43	0.54	0.83	1.37
YNL144C		25					23		0.65	1.14	0.88	0.68	0.44	0.46	0.48
YKR050W			20					20	0.52	0.37	0.49	0.59	0.68	0.72	0.68
YLR003C				19	38				1.99	0.78	0.44	0.44	0.64	1.11	1.4
YKL148C					104		59	80	0.74	2.01	1.62	1.6	1.24	0.5	0.48
YOR208W				131		115			0.85	0.93	1.11	1.21	1.44	2.29	1.3
YOR382W					2201	1987			1.76	6.17	6.8	11.6	9.55	9.35	7.34
YOR254C	40					40			4.09	3.76	3.63	3.68	4.56	4.99	5.17
YNL131W					286	121	329	116	3.36	4.84	5.02	4.68	4.98	3.88	3.55
YHR042W			10				15		5.18	3.51	2.7	3.51	3.79	5.59	5.75
YIL110W						326		214	1.13	0.76	0.6	0.61	0.73	0.96	1.04
YDL109C				117	28		45		0.78	1.12	0.54	0.88	0.55	0.49	
YJR039W			27				27		0.53	0.66	0.82	0.77	0.63	0.41	0.48
YFL016C					137		119		1.71	6.18	7.98	3.91	5.68	3.52	4.05
YNL103W					23	41			0.75	0.58	0.67	0.61	0.77	0.78	0.82
YCL039W						31	49		0.95	1.11	1.11	1.15	1.02	0.92	0.81
YOR239W					69		58		1.89	1.54	1.67	1.71	1.74	2.18	2.25
YML071C	18	27							0.97	0.6		0.7	0.78	0.66	0.86
YDR091C	168	108							2.34	1.05	0.65	0.68	0.94	1.47	1.59
YNR065C	39	20	16	41	21		22	21	1.15						0.86
YDR028C				51	30				1.32	1.57	1.58	1.3	1.41	1.01	1.17
YCL051W				9			10		0.39	0.52	0.58	0.51	0.48	0.41	0.37
YGL058W					1428	799			1.58	2.06	1.87	1.66	1.83	1.93	1.83
YNL090W						126	83	72	1.11	1.27		1.04	1.28	1.26	1.44
YBR293W							118	300	1.11	0.98	0.94	1.17	1.14	1.86	1.48
YJL049W	12	20							0.65	0.64	0.66	0.68	0.67	0.51	0.6
YER147C							114	62	0.47	0.34	0.42	0.58	0.48	0.59	0.52
YPL236C					178	70		187	0.71	0.77	0.85	0.84	0.78	0.68	0.74
YOR158W							64	72	1.19	2.07	2.66	2.16	2.12	1.22	1.16
YNL310C				442	565	206			0.88	1.42	1.29	1.11	1.2	0.96	0.84
YPL137C				41	42				0.94	0.74	0.84	0.98	1	1.34	1.04
YGR199W	44	36							1.3	1.17	1.18	1.37	1.45	1.13	1.53
YKL191W						39	109		1.8	0.68	0.34	0.47	0.72	1.47	1.83
YOL097C							265	195	3.99	3.24	2.31	1.63	1.87	2.51	2.96
YNL234W				116	243		271	338	0.77	0.48	0.57	0.83	1	2.47	1.15
YOR092W				108				121	0.79	0.75	0.67	0.81	0.82	1.21	0.95
YEL061C				28			41		1.54	1.31	1.02	0.71	1.14	2.12	1.11
YGR171C					89	60			0.79	1.03	1.07	1.03	0.96	0.94	0.93
YIL046W						39	21	33	0.8	0.7	0.72	1.03	0.86	0.96	0.78
YKL032C	176	93							0.96	0.82	0.88	0.86	0.95	0.87	0.96
YBL036C	123	87							1.74	1.94	1.83	1.73	1.88	2.14	1.94
YFL013C							88	58	0.86	0.61	0.71	0.74	0.87	0.81	0.94
YMR134W	316	426							1	1.07	0.87	0.87	0.81	0.87	0.92
YDR251W	54		86						1.35	1.68	2.02	1.85	1.95	1.5	1.39
YDR354W						159	134		0.98	1.48	1.49	1.3	1.38	0.77	0.95
YMR211W							12	12	0.86	0.59	0.51	0.59	0.56	0.74	0.84
YDR310C			31					32	0.87	0.84	0.99	0.82	0.96	0.68	0.83
YDR359C					20		17		0.38	0.36	0.39	0.35	0.41	0.3	0.38
YBL088C							8	8	1.7	1.74	1.33	1.27	1.6	1.41	1.26
YPR031W							57	106	0.87	0.5	0.53	0.55	0.51	0.64	0.87
YJR092W					6	5			0.86	0.55	0.62	0.57	0.67	0.38	0.7
YIL137C							21	25	0.64	0.52	0.63	0.53	0.69	0.63	
YKR103W						15	9		0.41	0.29	0.38	0.35	0.29	0.27	0.29
YGR097W		54		79					1.16	1.09	1.25	1.42	1.64	1.63	1.09
YER129W				59			80		0.68	0.44	0.48	0.46	0.54	0.53	0.63
YPL240C						120		96	7.35	24.21	34.01	23.88	25.07	19.13	23.39
YPL193W							70	99	0.81	0.4	0.36	0.52	0.57	0.65	0.71
YPL060W							90	151	1.06	1.12	1.31	1.31	0.76	1.17	1.3
YEL029C	892	950							0.91	0.74	0.68	0.72	0.85	0.93	0.9
YJL092W				37		43			1.33	0.99	1.05	1.05	1.13	1.09	1.62
YLR265C					1817		1778		0.91	0.84	0.69	0.66	0.71	0.82	0.86
YNL272C							74	56	1.16	1.05	1.05	0.95	1.11	0.77	1.17
YJL062W							496	645	0.87	0.82	0.82	0.83	0.89	0.83	1.08
YJL033W							14	22	1.21	0.34	0.3	0.58	0.38	0.7	0.86
YOL065C					103		94		1.01	1.12		1.21	1.31	1.12	1.13
YKL074C							106	155	0.88	0.49	0.59	0.63	0.84	1.49	1.28
YDR022C							302	336	0.81	0.98	1.18	1.18	0.89	0.96	0.96
YAR042W						33		33	0.59	0.36	0.47	0.53	0.55	0.52	0.53
YHL004W							70	53	0.64	0.8	0.79	0.79	0.96	0.67	0.64
YHR149C	121				77				0.3	0.13					0.13
Q0050					98										
Q0105						327	383								
YAL001C									1.89	2.1	2.09	2.1	1.75	1.43	1.65
YAL004W															
YAL007C									2.76	3.87	4.24	3.87	4.94	5.83	5.04
YAL008W									1.67	3.36	4.19	3.91	4.16	3.67	2.67
YAL009W									1.06	1.43	1.87	1.38	1.31	1.31	1.17
YAL010C									1.12	1.27	1.51	1.32	1.51	1.3	1.31
YAL013W									0.82	0.92	1.03	0.85	1.18	1.21	0.94
YAL014C	13								0.97	1.37	1.59	1.45	1.71	2.28	1.3
YAL015C									0.92	1.38	1.6	1.72	1.83	1.6	1.19
YAL016W									3.12	4.23	5.07	4.54	4.86	4.6	3.82
YAL017W									1.36	2.01	2.31	2.19	2.13	1.78	1.63
YAL018C															
YAL019W						17			0.95	0.7	0.63	0.68	0.66	0.9	0.89
YAL020C									0.65	0.68	0.7	0.76	0.51	0.68	0.63
YAL021C									1.39	1.42	1.77	1.78	1.8	1.87	1.72
YAL022C									0.91	0.98	1.06	1.07	1.2	1.05	0.93
YAL023C									2.22	1.75	2.07	2	2.21	2.62	2.89
YAL025C									1.62	0.42	0.31	0.29	0.47	1.02	1.04
YAL026C					14				1.37	1.61	1.61	1.33	1.24	1.28	1.24
YAL027W									0.92	1.05	1.16	0.99	1.01	1.01	0.9
YAL028W									0.83	1.11	1.36	1.43	1.39	1.3	1.04
YAL030W									1.69	2.51	2.63	2.29	2.42	2.05	1.79
YAL032C									0.58	0.59	0.64	0.55	0.6	0.54	0.55
YAL033W									1.69	1.98	1.79	1.5	1.58	1.49	1.69
YAL034C									0.7	0.91	1.16	1.25	1	1.16	1.03
YAL034W-A									1.41	1.52	1.47	1.25	1.42	1.37	1.34
YAL035C-A															
YAL035W									5.37	3.15	3.4	2.74	3.85	4.01	3.93
YAL036C									3.17	1.97	1.65	1.71	1.9	2.86	3.09
YAL037W									1.1	0.83	0.86	0.9	0.93	1.1	1.03
YAL039C									1.63	2.96	3.85	2.76	3.96	2.94	1.71
YAL040C									1.35	1.46	1.59	1.64	1.53	0.99	1.01
YAL041W									1.54	1.22	1.51	1.3	1.61	1.32	1.54
YAL042W									3.21	3.89	3.56	3.71	3.63	3.53	3.23
YAL043C-A															
YAL045C															
YAL046C									2.06	2.28	2.07	1.81	1.41	2.23	2.1
YAL047C									1.67	1.21	1.34	1.22	1.4	1.37	1.47
YAL049C								108	2.01	2.7	2.8	2.84	3.11	2.63	1.99
YAL055W									0.87	1.07	1.15	1.14	1.14	0.93	0.93
YAL056W									1.17	1.29	1.28	1.15	1.14	0.96	0.99
YAL058C-A															
YAL058W									1.83	1.36	1.92	1.66	1.21	1.42	1.31
YAL059W									2	0.92	0.74	0.5	0.98	0.94	1.24
YAL060W									1.31	3.82	4.83	5.04	3.61	1.43	0.98
YAL061W									0.5	1.93	3.06	1.85	1	0.84	0.5
YAL062W									0.72	0.85	0.94	0.84	0.75	0.56	0.49
YAL063C															
YAL064C-A															
YAL064W															
YAL064W-B															
YAL065C															
YAL066W															
YAL067C									0.67	0.76	0.68	0.68	0.6	0.61	0.63
YAL068C									0.99	0.89	0.91	0.86	0.59	1.06	1.1
YAL069W															
YAR002C-A									5.51	6.16	5.63	5.95	7.32	8.71	8.65
YAR002W									1.21	1.16	0.96	0.95	1.09	1.06	1.06
YAR003W	14								1.48	1.23		1.31			
YAR008W									2.4	2.68	2.29	1.69	2.57	2.21	2.09
YAR009C									7.58	7.07	7.42	6.55	8.89	9.27	8.95
YAR010C									5.15	4.54	3.61	4.57	5.71	8.13	5.75
YAR018C									0.81	0.72	0.86	0.68	0.68	0.43	0.68
YAR019C						14			0.7	0.72	1.31	0.49	0.57	0.62	0.53
YAR020C															
YAR023C									0.36	0.4	0.38	0.4	0.32	0.46	0.34
YAR027W									2.15	3.59	3.13	3.9	3.45	3.4	3.26
YAR028W									0.52	0.46	0.44	0.45	0.46	0.6	0.52
YAR029W															
YAR030C															
YAR031W									0.6	0.85	0.77	0.78	0.8	0.86	0.79
YAR033W									0.54	0.66	0.61	0.62	0.72	0.86	0.75
YAR035W									0.35	0.41	0.41	0.38	0.37	0.3	0.32
YAR044W									0.73	0.56	0.7	0.71	0.75	0.66	0.59
YAR047C															
YAR050W									0.98	0.87	0.88	1.02	0.86	0.69	0.81
YAR060C									0.39	0.35	0.38	0.39	0.44	0.37	0.38
YAR061W															
YAR062W															
YAR064W															
YAR066W									0.9						
YAR068W									0.45	0.46	0.49	0.52	0.63	0.68	0.67
YAR069C									0.7	0.58	0.59	0.75	0.62	0.67	0.48
YAR070C															
YAR075W									2.92	2.37	1.19	1.03	1.25	2.72	2.24
YBL005W							103	44							
YBL005W-A															
YBL005W-B															
YBL006C									2.3	3.3	3.37	3.04	3.13	3.44	2.57
YBL008W									0.76	0.64	0.9	0.76	0.79	0.71	0.71
YBL008W-A	122														
YBL009W															
YBL010C									0.48	0.48	0.5	0.42	0.5	0.43	0.55
YBL011W				15											
YBL012C															
YBL013W															
YBL014C									0.81	0.28	0.32	0.35	0.44	0.57	0.67
YBL016W									1.01	0.62	0.54	0.89	0.91	1.57	1.39
YBL017C									2.1	2.16	2.2	1.85	2.07	1.54	1.83
YBL018C									2.04	1.51	1.18	1.22	1.18	1.85	2.41
YBL019W									0.43	0.38	0.5	0.53	0.42	0.51	0.56
YBL022C									1.81	2.32	3.64	3.87	4.41	2.7	2.18
YBL023C									0.61	0.45	0.5	0.5	0.54	0.36	0.47
YBL025W									0.76	0.81	0.91	0.98	0.71	0.89	0.72
YBL026W									2.25	3.05	2.25	2.25	2.31	2.91	2.19
YBL028C									2.36	1.04	0.52	0.61	0.85	1.53	1.81
YBL029W				36					0.49	0.55	0.64	0.73	0.64	0.86	0.59
YBL031W									0.52	0.51	0.51	0.54	0.39	0.39	0.52
YBL032W									1.75	1.9	1.55	1.61	1.98	1.71	1.9
YBL033C									1.35	2.85	2.85	2.49	3	2.72	1.96
YBL034C									1.42	1.07	1.51	1.25	1.14	0.85	0.97
YBL035C									0.7	0.44	0.4	0.43	0.57	0.45	0.61
YBL037W									0.41	0.43	0.48	0.43	0.53	0.39	0.37
YBL038W									1.72	2.8	3.35	2.84	2.94	2.4	1.98
YBL039C									4.23	1.14	0.68	0.59	1.39	2.66	3.68
YBL040C									3.04	4.71	4.25	4.55	5.23	4.81	4.27
YBL042C									1.65	0.33	0.25	0.39	0.48	0.59	1.9
YBL043W															
YBL044W															
YBL046W	15														
YBL048W									0.76	0.69	0.68	0.99	1.11	1.59	0.74
YBL049W															
YBL051C									1.4	1.11	1.15	1.03	1.33	1	1.2
YBL052C									0.94	0.6	0.55	0.45	0.54	0.43	0.73
YBL053W															
YBL054W									1.21	0.16	0.62	0.13	0.24	1.03	0.9
YBL055C	73	82													
YBL056W					59				1.61	2.01	2.37	2.27	2.49	2.02	1.68
YBL057C	172								1.25	1.96	1.64	1.58	1.64	1.56	1.34
YBL059W															
YBL060W									0.76	0.67	0.73	0.74	0.83	0.68	0.71
YBL061C	86														
YBL062W															
YBL064C								141	2.06	22.39	25.72	22.71	21.63	10.82	5.45
YBL065W															
YBL067C						67			1.61	1.38	1.4	1.19	1.42	1.16	1.37
YBL068W			30						2.41	1.61	0.85	0.85	1.16	1.85	1.8
YBL069W									0.81	0.49	0.43	0.41	0.44	0.93	0.71
YBL070C															
YBL071C									1.09	0.63	0.79	0.81	0.9	0.93	1.08
YBL073W									1.04	0.8	1.03	0.93	0.85	0.77	0.97
YBL074C															
YBL077W									4.68	4.36	2.9	2.34	2.52	3.64	3.69
YBL078C									0.86	3.02	3.26	3.69	3.74	2.16	1.31
YBL080C									0.27	0.29	0.25	0.35	0.35	0.26	0.28
YBL081W									0.98	0.67	0.58	0.67	0.74	0.7	0.73
YBL082C									1.76	1.16	1	1.18	1.35	1.69	2.02
YBL083C									0.94	0.7	0.54	0.67	0.7	1.09	0.99
YBL084C									0.72	0.56	0.62	0.63	0.66	0.49	0.54
YBL085W				5					1.65	1.66	1.94	1.49	1.33	1.02	1.12
YBL089W									0.71	0.8	0.83	0.75	0.83	0.83	0.79
YBL090W									1.22	2.25	2.36	2.11	1.84	1.43	1.14
YBL093C									1.52	1.46	1.37	1.31	1.78	2.8	1.82
YBL094C									1.06	1.14	0.94	0.89	0.96	1.12	0.98
YBL095W									0.89	0.98	0.85	0.85	0.89	1.01	0.94
YBL096C									1.12	1.01	0.9	1	0.96	1.01	0.93
YBL097W															
YBL098W									0.73	0.75	0.71	0.6	0.69	0.77	0.98
YBL100C															
YBL100W-B	34		33												
YBL101C									0.97	1.51	1.89	1.47	1.76	1.18	1.06
YBL101W-A															
YBL101W-B															
YBL102W									2.24	2.98	3.31	3.64	4.07	2.74	2.74
YBL103C									0.36	0.29	0.32	0.32	0.31	0.27	0.27
YBL104C									0.89	0.63	0.79	0.79	0.85	0.87	0.93
YBL107C									1.43	2.56	3.29	3.11	3.67	3.93	2.2
YBL108W															
YBL109W															
YBL111C									0.49	0.45	0.47	0.5	0.5	0.39	0.45
YBL112C									1.28	1.11	1.11	1.25	1.33	1.04	1.07
YBL113C									2.96	2.9	3.38	3.28	3.35	2.58	2.78
YBR001C									0.62	1.68	2.12	2.4	2.73	0.94	0.88
YBR003W									0.4	0.09	0.46	0.2	0.11	0.2	
YBR004C									1.84	1.53	1.31	1.57	1.61	3	2.06
YBR005W									3.53	5.03	4.35	5.43	5.9	17.51	8.28
YBR006W				22	38	58		29							
YBR008C									1.63	7.7	6.52	4.1	5.45	6.57	4.21
YBR010W					138				32.24	48.86	37.81	23.6	22.95	39.14	38.6
YBR012C									0.79	0.66	0.66	0.72	0.67	1.16	0.78
YBR012W-A															
YBR012W-B															
YBR013C									0.85	0.73	0.69	0.71	1.1	1.06	0.87
YBR014C									1.74	2.5	3.58	3.25	3.46	2.83	2.58
YBR015C									1.32	1.15	1.26	1.31	1.48	1.38	1.31
YBR016W									2.49	3.89	4.65	4.08	4.31	4.11	3.65
YBR017C									1.93	1.14	1.1	1.01	1.53	1.43	1.66
YBR018C									0.37	0.38	0.42	0.56	0.17	0.35	0.31
YBR019C															
YBR020W									0.55	0.47	0.45	0.43	0.28	0.35	0.44
YBR021W									0.69	0.21	0.2	0.23	0.27	0.35	
YBR022W									1.16	1.48	1.41	1.41	1.09	1.41	1.27
YBR023C									2.14	1.2	1.24	1.55	2.04	2.57	2.06
YBR024W									0.99	1.48	1.75	1.61	1.02	1.6	1.05
YBR027C									0.66	0.71	0.56	0.56	0.6	0.54	0.62
YBR029C									1.89	1.68	1.85	2.27	2.53	1.78	2.1
YBR030W									0.6	0.35	0.29	0.34	0.39	0.46	0.55
YBR032W									0.6	0.46	0.38	0.42	0.34	0.42	0.34
YBR036C									2.39	3.16	2.85	3.29	3.09	3.41	2.87
YBR037C									0.87	2.43	3.34	2.93	3.16	1.41	1.05
YBR038W						111			1.8	1.54	1.74	1.81	1.5	1.2	1.7
YBR039W	50	151	781	464	342	231	498	383							
YBR040W									0.35	0.22	0.22	0.31	0.21	0.48	0.49
YBR041W									2.35	2.54	2.52	2.7		2.21	1.86
YBR042C						12			1.37	1.4	1.24	1.13	1.23	1.41	1.41
YBR043C									0.9	0.52	0.58	0.69	0.95	1.18	1.38
YBR044C									0.42	0.56	0.62	0.55	0.47	0.37	0.44
YBR045C				117	67										
YBR046C									0.72	1.95	1.93	3.22	2.53	2.11	1.43
YBR047W									0.54	1.74	0.9	1.44	1.26	1.01	0.49
YBR050C									0.57	1.27	0.73	1.43	0.92	0.96	0.71
YBR051W															
YBR052C									1.95	8.32	11.28	10.82	9.49	6.35	3.62
YBR054W									2.66	4.17	3.3	2.35	2.16	6.15	1.71
YBR055C									1.51	1.1	0.99	0.99	1.21	1.23	1.19
YBR056W									2.53	7.2	10.39	11.85	9.3	6.09	3.88
YBR057C									0.52	0.41	0.43	0.43	0.46	0.41	0.42
YBR060C									0.51	0.4	0.36	0.36	0.41	0.36	0.44
YBR061C									1.2	0.61	0.47	0.45	0.66	1.12	1.17
YBR062C				313					2.15	5.29	5.44	5.52	5.15	5.04	3.1
YBR063C									0.67	0.46	0.52	0.55	0.61	0.65	0.69
YBR064W															
YBR065C									0.45	0.24	0.26	0.29	0.34	0.44	0.43
YBR066C									1.22	1.34	1.68	1.31	1.59	1.11	1.85
YBR068C									5	6.64	7.52	8.52	8.94	11.72	7.27
YBR069C									3.07	1.32	0.8	0.89	1.11	2.08	2.33
YBR070C									1.01	1.32	1.22	1.06	1.27	1.34	1.32
YBR071W									0.91	1.11	1.01	1.16	1.72	2.16	1.44
YBR074W									0.64	0.28	0.33		0.43	0.44	0.53
YBR075W									1.13	0.82	0.69	0.69	0.81	0.81	0.92
YBR076W									0.98	1.12	1	1.13	1.08	1.3	1.05
YBR077C									1.37	2.3	2.12	2.01	2.14	2.05	1.66
YBR080C									1.3	1.41	1.7	1.56	1.81	1.65	1.55
YBR082C						459			11.17	32.27	39.73	29.08	32.49	36.81	25.49
YBR083W									0.96	1.43	2.08	1.73	2.01	0.71	1.25
YBR084C-A									18.48	26.13	15.75	10.18	9.63	13.81	14.6
YBR085W									1.1	1.62	1.33	1.29	1.15	0.92	0.94
YBR086C	58								2.37	1.91	2.2	1.94	1.96	1.32	1.67
YBR087W									1.8	2.01	1.69	1.54	1.54	2.04	1.72
YBR089C-A				187		286	229	349							
YBR089W									1.14	0.9	0.71	1.1	0.85	0.91	0.9
YBR090C									2.57	6.28	7.17	7.17	7.95	5.47	3.71
YBR091C									1.37	1.67	1.52	1.59	1.43	1.62	1.41
YBR093C									0.89	0.37	0.19	0.2	0.31	0.57	0.35
YBR094W									0.72	0.62	0.68	0.71	0.68	0.61	0.72
YBR095C									0.85	0.7	0.69	0.58	0.83	0.8	0.98
YBR096W									2.55	4.62	4.5	4.56	3.97	3.31	2.83
YBR097W						4			1.42	1.39	1.74	1.55	1.36	1.38	1.09
YBR098W															
YBR099C									0.74	1.2	0.84	0.66	0.61	0.71	0.91
YBR100W									0.51	0.67	0.57	0.5	0.41	0.49	0.52
YBR102C									0.44	0.35	0.36	0.39	0.39	0.35	0.42
YBR103W									1.05	0.95	1.05	1.01	1.08	0.9	1.32
YBR104W									0.94	0.51	0.34	0.49	0.52	0.94	0.84
YBR105C									1.33	1.44	1.52	1.74	1.99	2.59	1.99
YBR106W									10.52	16.62	15.73	15.84	18.44	20.61	16.39
YBR107C									0.57	0.54	0.59	0.65	0.7	0.96	0.89
YBR108W															
YBR109C			60						5.96	8.42	8.36	8.08	9.15	10.02	7.64
YBR110W									0.79	0.9	0.81	0.85	0.99	0.9	0.9
YBR111W-A					101										
YBR112C									1.74	1.69	1.74	1.48	1.88	1.34	1.52
YBR113W									0.91		0.79	0.77	0.87	0.68	0.71
YBR114W								7	0.54	0.6	0.64	0.7	0.53	0.81	0.51
YBR116C															
YBR117C									0.35	0.34	0.35	0.57	0.65	0.35	0.31
YBR119W									1.26	1.39	1.26	1.29	1.18	1.16	1.51
YBR120C									1.61	2.79	3.02	2.74	1.48	1.5	1.33
YBR122C									1.57	2.76	2.78	2.32	2.04	1.68	1.42
YBR123C									0.77	0.78	0.77	0.79	0.8	0.64	0.77
YBR124W															
YBR125C									0.84	0.92	0.84	0.84	0.97	0.88	0.82
YBR128C									0.77	0.9	0.82	0.84	0.59	0.76	0.81
YBR129C									0.98	1.49	1.46	1.38	1.45	1.26	1.15
YBR131W									0.44	0.25	0.29	0.31	0.39	0.36	0.43
YBR132C									0.55	1.27	1.41	1.36	1.06	0.69	0.23
YBR133C									1.37	1.06	1.1	1.12	1.34	0.92	1.38
YBR134W															
YBR137W									1.28	2.62	2.99	3.51	3.92	2.97	2.3
YBR138C									0.37	0.42	0.38	0.5	0.46	0.21	0.4
YBR139W	13				193	58	102	24							
YBR141C									0.65	0.39	0.31	0.45	0.49	0.68	0.66
YBR142W									1.77	0.69	0.62	0.59	0.75	1.06	1.32
YBR143C									9.46	7.27	4.73	4.18	5.21	7.96	7.85
YBR144C															
YBR146W									1.55	2.3	2.5	2.55	2.29	1.67	1.21
YBR147W															
YBR148W									0.65	0.6	0.57	0.74	0.6	0.59	0.62
YBR150C									0.63	0.74	0.76	0.77	0.71	0.53	0.54
YBR151W									2.05	3.28	3.44	3.74	3.59	3.02	2.4
YBR152W															
YBR153W									0.91	0.81	0.68	0.68	0.8	1.11	0.89
YBR154C							385		4.79	3.63	2.3	2.5	2.59	3.84	3.84
YBR155W									1.26	0.46	0.46	0.48	0.62	1.06	1.18
YBR156C									0.84	0.66	0.58	0.54	0.66	0.62	0.74
YBR157C									0.71	0.92	0.78	0.88	0.96	0.71	0.86
YBR158W									2.81	1.88	1.77	2.29	2.7	3.06	2.33
YBR159W									4.56	5.17	4.44	4.28	4.66	4.96	4.75
YBR160W									1.53	1.96	2.16	1.81	2.13	1.92	1.87
YBR161W									0.61	0.62	0.72	0.59	0.61	0.59	0.61
YBR162W-A															
YBR163W		5							0.89	0.68	0.61	0.61	0.73	0.87	0.89
YBR164C									2.04	2.88	2.56	1.98	2	2.28	2
YBR165W									1.21						
YBR166C									1.04	0.99	0.94	0.89	1.09	1.56	1.15
YBR167C									0.84						
YBR168W									0.46	0.63	0.75	0.67	0.86	0.65	0.58
YBR170C									0.84	1.57	2.27	1.99	2.4	1.9	1.32
YBR171W									2.68	3.51	3.87	3.46	4.06	4.97	3.76
YBR172C									1	0.58	0.47	0.55	0.68	0.75	0.78
YBR173C									2.51	5.7	7.57	5.9	6.96	7.36	4.03
YBR174C															
YBR175W									0.98	1.41	1.52	1.4	1.49	1.55	1.08
YBR176W									0.61	0.81	0.76	0.68	0.82	0.81	0.88
YBR177C									2.05	3.52	3.5	3.06	3.2	2.08	2.29
YBR178W															
YBR179C						11			0.84	0.97	1.25	1.03	1.33	0.91	1.03
YBR180W									0.35		0.29	0.33	0.35	0.38	0.15
YBR182C															
YBR183W									1.58	5.59	5.91	6.69	3.02	3.79	1.72
YBR184W															
YBR185C									2.17	3.95	4.29	4.17	3.25	2.71	2.48
YBR186W															
YBR187W									3.99	3.19	2.11	1.83	2.2	2.7	3.15
YBR188C									0.98	1	0.86	0.83	0.94	0.98	0.94
YBR190W									0.81	0.83	0.71	0.55	0.47	0.59	0.53
YBR192W									0.96	0.95	1.04	1	1.1	0.92	0.93
YBR193C									0.65	0.74	0.77	0.77	0.7	0.8	0.74
YBR194W									0.61	0.76	0.82	0.88	0.83	0.84	0.75
YBR195C									0.67	0.57	0.56	0.63	0.6	0.79	0.78
YBR197C									0.6	0.5	0.48	0.53	0.49	0.68	0.64
YBR198C									1.06	0.74	0.72	0.79	1.08	0.87	1.05
YBR200W									0.73	0.66	0.66	0.66	0.84	0.73	0.77
YBR201W									1.07						
YBR202W			16						0.76	0.42	0.43	0.4	0.59	0.4	0.41
YBR204C					23				0.6	1.17	1.35	1.25	1.38	1	0.77
YBR205W									1.35	1.54	1.45	1.39	1.5	1.7	1.45
YBR206W									2.65	3.01	2.58	2.41	3.01	2.81	2.94
YBR207W									1.62	2.03	1.84	1.83	2.02	1.98	2.02
YBR209W															
YBR210W									1.6	1.96	1.52	1.54	1.67	1.67	1.45
YBR211C					11				1.26	1.48	1.43	1.21	1.02	1.2	1.3
YBR213W									1.14	0.93	0.86	1.05	0.63	0.85	0.82
YBR214W									1.44	3.71	4.14	3.78	2.91	2.39	1.85
YBR215W									1.59	1.22	1.37	1.22	1.18	1.22	1.58
YBR216C									1.06	1.01	1.11	1.03	1.33	0.91	1.1
YBR217W									2.05	2.01	1.88	1.7	1.37	1.76	1.85
YBR219C									1.16	0.95	0.86	0.84	0.9	1.11	1.21
YBR220C									1.23	0.95	0.7	0.82	1.09	1.19	
YBR222C								70	0.97	1.36	1.65	2.34		1.7	2.44
YBR223C									2.97			2.73	2.22		0.86
YBR224W															
YBR225W									1.05	1.14	1.21	1.2	1.28	1.07	1.11
YBR226C									0.9	0.86	0.89	1.14	0.6	0.53	0.55
YBR227C			48						0.54	0.54	0.56	0.5	0.45	0.47	0.55
YBR228W					29				0.9	1.03	0.86	0.91	0.99	0.78	0.93
YBR229C									0.95	0.83	0.95	1.21	1.34	0.89	0.99
YBR230C			98						2.16	12.39	14.94	17.89	14.73	4.03	3.03
YBR231C									0.67	0.99	0.92	1.14	1.25	1.12	1.03
YBR232C															
YBR233W									0.36	0.41	0.49	0.49	0.61	0.61	0.61
YBR234C									3.47	5.33	5.11	5.18	5.11	4.45	3.3
YBR236C									1.12	1.14	1.07	1.05	1.2	1.01	1.17
YBR237W									0.55	0.41	0.51	0.44	0.47	0.37	0.52
YBR238C									0.9	0.2	0.14	0.14	0.18	1.02	0.44
YBR239C									0.32	0.23	0.25	0.23	0.27	0.27	0.29
YBR240C															
YBR241C									0.68	1.16	1.5	2.45	2.21	1.67	1.13
YBR242W									1.64	1.2	0.82	0.95	1.01	1.31	1.65
YBR243C									1.16	1.32	1.15	1.26	1.43	1.42	1.68
YBR244W								198	2.44	13.22	10.89	8.2	7.75	6.34	3.93
YBR246W									1.66	1.31	1.18	1.2	1.4	1.74	1.48
YBR247C			12						1.21	0.32	0.25	0.27	0.39	0.65	0.9
YBR250W		14		16											
YBR251W									0.65	1.06	0.99	1.01	0.88	0.63	0.59
YBR253W									0.99	1.42	1.1	1.19	1.16	1.15	1.14
YBR254C									1.34	1.62	1.14	1.21	1.33	1.45	1.48
YBR255W									0.51	0.56	0.62	0.55	0.66	0.52	0.54
YBR256C									2.18	5.23	5.6	4.95	4.81	3.7	3
YBR257W									1.02	0.91	0.88	0.88	0.93	1	0.98
YBR258C		91							0.72	0.79	0.74	0.66	0.73	0.77	0.61
YBR259W									0.7	0.64	0.67	0.64	0.78	0.83	0.99
YBR260C									0.61	0.66	0.83	0.76	1	0.87	0.62
